﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Miasta wyposażone w sieć elektryczną (stan w dniu 31 XII);szt.;660;.;.;.;669;.;.;.;745;806;806;830;871;876;893;889;889;891;890;891;891;891;891;889;889;889;886;836;836;810;808;803;803;803;804;804;805;806;812;812;813;818;822;825;830;833;835;845;853;860;864;870;875
poniżej 5000 ludności;szt.;.;.;.;.;.;.;.;.;.;.;381;386;409;393;412;394;382;376;372;369;364;360;352;352;359;350;346;302;294;286;282;276;273;270;264;263;261;256;258;256;256;258;256;257;257;255;253;261;266;269;273;278;281
od 5000 do 9999 ludności;szt.;.;.;.;.;.;.;.;.;.;.;210;220;225;239;239;241;246;247;243;245;242;241;241;231;220;223;218;201;203;193;192;188;186;186;185;184;187;189;187;184;182;180;181;177;177;175;176;176;179;181;182;181;181
od 10000 do 19999 ludności;szt.;.;.;.;.;.;.;.;.;.;.;114;120;128;133;135;138;144;145;150;151;155;156;158;165;162;165;170;170;172;157;157;160;164;164;169;165;163;164;165;164;166;170;169;173;177;177;178;179;177;178;177;182;182
od 20000 do 49999 ludności;szt.;.;.;.;.;.;.;.;.;.;.;64;65;69;69;65;71;72;76;77;78;81;85;90;91;97;99;100;108;111;110;109;110;107;109;111;114;114;117;122;125;124;126;129;129;128;134;136;136;138;139;139;137;139
od 50000 do 99999 ludności;szt.;.;.;.;.;.;.;.;.;.;.;17;19;19;20;20;23;23;25;25;25;26;26;27;26;27;28;28;30;31;35;37;36;40;39;38;40;42;42;41;43;45;43;46;46;48;49;50;51;51;51;51;50;50
od 100000 do 199999 ludności;szt.;.;.;.;.;.;.;.;.;.;.;11;11;12;13;13;13;13;13;12;13;13;13;13;14;14;14;13;13;13;15;15;16;18;20;22;22;22;21;21;22;22;23;22;23;23;23;22;22;22;22;22;22;22
200000 i więcej ludności;szt.;.;.;.;.;.;.;.;.;.;.;9;9;9;9;9;9;9;9;11;10;10;10;10;10;10;10;11;12;12;14;16;17;15;15;15;16;16;17;18;18;18;18;19;20;20;20;20;20;20;20;20;20;20
Odbiorcy energii elektrycznej w gospodarstwie domowym (stan w dniu 31 XII);tys.;.;.;.;.;2167;.;.;.;.;2967;.;3246;3453;3661;3847;4031;4212;4413;4615;4799;4985;5161;5352;5544;5735;5924;6105;6292;6484;6716;6950;7184;7403;7609;7816;8012;8233;8422;8607;8892;9041;9199;9358;9531;9702;9870;10 005,0;10 178,0;10 314,0;10 417,0;10 512,0;10 624,0;10 758,0
w miastach;tys.;.;.;.;.;.;.;.;.;.;2367;.;2535;2719;2886;3039;3164;3296;3452;3591;3733;3881;4015;4152;4289;4426;4567;4712;4868;5018;5211;5396;5596;5778;5942;6122;6294;6461;6602;6734;6979;7104;7235;7349;7495;7613;7742;7850;7979;8081;8157;8203;8267;8371
