﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Sieć gazowa rozdzielcza (stan w dniu 31 XII);km;.;.;.;.;.;.;.;.;.;7691;7953;8088;8170;8366;7848;8171;8395;8638;8866;10 107,0;10 471,0;10 735,0;10 980,0;11 346,0;11 843,0;12 295,0;13 926,0;14 666,0;15 616,0;16 931,0;17 613,0;18 846,0;19 972,0;21 211,0;22 402,0;23 647,0;25 204,0;26 745,0;28 356,0;30 046,0;32 165,0;34 640,0;37 825,0;41 175,0;45 827,0;52 033,0;60 752,0;67 981,0;74 595,0;79 352,0;83 699,0;87 544,0;91 289,0
Połączenia gazowe prowadzące do budynków mieszkalnych (stan w dniu 31 XII);tys. szt.;.;.;.;.;.;.;.;.;.;197,2;206;210,5;215,1;221;222,5;227,7;236,4;245,6;255;262,6;270,2;275,7;282,4;291,4;302,7;315,6;330,8;344,1;356,7;373,2;388,9;407,3;432,5;459,7;490;520,8;554;593,4;631,5;670,4;719,2;774,2;838,7;918,7;1004,4;1116,6;1222,7;1355,8;1442,3;1510,7;1571,5;1657,7;1741
w miastach;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;209,4;210,6;215,4;221,8;230,4;237,9;244;249,9;254,4;260,3;267,3;276,7;286,1;298,8;311;320;333,4;342;356,5;374,9;397,6;421,1;442,2;465,9;493,2;519,4;544,7;573,4;605;640,9;681,9;730,6;783,4;818,3;870,8;905,9;935,5;963,2;1013;1051,7
na wsi;tys. szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;11,6;11,9;12,3;14,6;15,2;17,1;18,6;20,3;21,3;22,1;24,1;26;29,5;32;33,1;36,7;39,8;46,9;50,8;57,6;62,1;68,9;78,6;88,1;100,2;112,1;125,7;145,8;169,2;197,8;236,8;273,8;333,2;404,4;485;536,4;575,2;608,3;644,7;689,3
Miasta wyposażone w sieć gazową (stan w dniu 31 XII);153;.;.;.;237;.;.;.;240;248;256;263;269;273;282;290;295;300;303;306;307;309;315;320;327;337;341;350;360;366;372;375;385;391;400;403;409;414;419;424;429;444;450;459;462;471;485;505;528;550;560;581;598;
poniżej 5000 ludności;.;.;.;.;.;.;.;.;.;.;71;69;68;67;68;64;64;63;62;60;57;58;55;55;60;58;51;53;53;52;52;48;49;50;49;50;49;49;48;49;51;55;57;58;58;59;64;75;80;89;96;107;113;
od 5000 do 9999 ludności;.;.;.;.;.;.;.;.;.;.;72;74;72;73;80;89;87;89;87;87;88;86;89;87;82;90;82;85;83;81;78;78;81;82;85;85;89;88;86;86;84;90;91;90;92;91;96;101;108;115;120;123;127;
od 10000 do 19999 ludności;.;.;.;.;.;.;.;.;.;.;48;48;54;56;54;54;58;59;62;64;66;65;68;72;76;77;81;84;91;89;92;97;100;100;103;100;101;105;108;107;110;113;113;117;117;121;122;124;130;132;130;138;144;
od 20000 do 49999 ludności;.;.;.;.;.;.;.;.;.;.;34;38;39;39;41;42;44;46;48;50;50;54;56;59;61;62;76;75;78;81;83;84;83;87;90;92;91;93;98;101;101;104;104;105;105;108;112;113;118;121;121;121;122;
50000 do 99999 ludności;.;.;.;.;.;.;.;.;.;.;14;16;17;17;18;20;20;21;21;22;23;23;24;23;24;26;27;28;30;34;36;35;39;37;36;38;41;41;40;41;43;41;44;46;47;49;49;50;50;51;51;50;50;
