﻿Wskaźnik;Jednostka;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Miasta obsługiwane przez zakłady komunikacji miejskiej (stan w dniu 31 XII);szt.;75;.;.;.;91;93;99;118;128;138;149;158;161;161;164;161;166;166;170;180;181;181;189;186;196;188;197;202;212;222;226;227;234;244;254;259;267;268;274;275;275;262;264;272;279;277;258;262;265
Ludność w miastach obsługiwanych przez zakłady komunikacji miejskiej (stan w dniu 31 XII);tys. osób;.;.;.;.;.;7328;7751;8249;8472;8941;9246;9679;9852;10 007,0;10 194,0;10 281,0;10 464,0;10 763,0;10 933,0;11 199,0;11 359,0;11 593,0;11 933,0;12 502,0;12 889,0;13 544,0;14 187,0;14 892,0;15 220,0;15 761,0;16 173,0;16 491,0;16 936,0;17 295,0;17 640,0;17 875,0;18 168,0;18 356,0;18 453,0;18 613,0;18 778,0;18 719,0;18 643,0;18 876,0;18 899,0;18 812,0;18 539,0;18 545,0;18 689,0
Linie sieci komunikacyjnej (stan w dniu 31 XII);km;.;.;.;.;.;4794;.;5947;6368;7130;8127;9316;9791;10 349,0;11 123,0;11 653,0;12 793,0;13 487,0;14 331,0;14 990,0;15 617,0;16 496,0;18 461,0;20 359,0;22 630,0;24 636,0;29 499,0;31 396,0;32 827,0;33 961,0;35 522,0;35 953,0;38 166,0;39 911,0;42 598,0;39 493,0;41 370,0;41 550,0;42 981,0;43 701,0;44 036,0;42 861,0;46 714,0;47 189,0;50 238,0;52 602,0;51 725,0;50 282,0;48 538,0
w miastach;km;.;.;.;.;.;.;.;.;.;.;.;.;.;8425;8959;9386;10 696,0;11 285,0;11 978,0;12 520,0;13 037,0;13 726,0;15 136,0;16 556,0;17 780,0;19 637,0;23 838,0;25 327,0;26 654,0;27 670,0;28 943,0;29 094,0;31 059,0;32 123,0;34 137,0;30 659,0;31 692,0;31 565,0;32 677,0;33 213,0;33 193,0;33 108,0;35 380,0;35 492,0;37 340,0;38 977,0;39 408,0;39 597,0;38 514,0
na wsi;km;.;.;.;.;.;.;.;.;.;.;.;.;.;1924;2164;2267;2057;2202;2353;2470;2580;2770;3325;3803;4850;4999;5661;6069;6173;6291;6579;6859;7107;7788;8461;8834;9678;9985;10 304,0;10 488,0;10 843,0;9753;11 334,0;11 697,0;12 898,0;13 625,0;12 317,0;10 685,0;10 024,0
Czynne trasy autobusowe (stan w dniu 31 XII);km;.;.;.;1552;1750;1916;2412;2647;2807;3284;4033;4781;4907;5148;5406;5586;5966;6167;6469;6731;7028;7479;8268;9085;9802;10 281,0;11 252,0;12 184,0;12 708,0;12 944,0;13 367,0;13 402,0;14 161,0;15 165,0;16 211,0;17 108,0;18 104,0;18 363,0;19 145,0;19 675,0;19 937,0;19 241,0;21 974,0;23 437,0;24 725,0;25 293,0;24 625,0;24 163,0;22 782,0
Czynne trasy tramwajowe (stan w dniu 31 XII);km;.;.;.;833;840;877;885;902;905;919;925;917;920;914;918;905;903;914;897;901;902;902;889;882;895;894;901;916;923;927;933;930;927;918;921;906;920;915;915;917;921;899;903;961;929;935;923;931;932
Czynne trasy trolejbusowe (stan w dniu 31 XII);km;.;.;.;99;99;101;102;88;89;94;96;100;105;114;118;118;120;117;113;111;96;86;72;51;49;48;48;48;34;44;45;49;55;70;77;80;86;94;94;98;103;113;109;109;108;85;101;100;132
Autobusy (stan w dniu 31 XII);szt.;.;.;.;.;.;1009;1336;1599;1888;2413;2971;3294;3616;4060;4516;4743;4952;5149;5467;5891;6435;7110;7964;8794;9207;10 404;11 539;12 324;12 746;12 843;12 580;12 296;13 245;13 861;14 422;14 712;15 088;14 859;14 660;14 395;14 158;13 415;13 112;13 051;13 049;12 838;12 503;12 313;12 120
Tramwaje (stan w dniu 31 XII);szt.;.;.;.;.;.;3574;3718;3787;3882;4004;4123;4270;4273;4275;4321;4350;4379;4444;4471;4541;4540;4543;4543;4544;4522;4600;4721;4818;4866;4899;4911;4867;4815;4804;4780;4763;4724;4713;4637;4604;4547;4416;4340;4208;4128;3979;3944;3915;3876
Trolejbusy (stan w dniu 31 XII);szt.;.;.;.;.;.;161;155;159;179;222;255;270;324;325;338;346;367;372;351;334;308;253;202;128;118;106;112;111;97;91;139;180;206;243;252;265;275;272;273;258;248;245;253;247;250;240;240;228;228
Taksówki osobowe (stan w dniu 31 XII);szt.;.;.;.;.;.;.;.;8100;9157;10 440;11 841;12 457;13 724;14 710;15 591;16 451;18 365;19 964;21 360;23 475;26 348;29 258;32 269;34 679;33 220;34 451;37 261;43 250;51 420;57 715;64 124;72 219;76 986;83 988;88 039;83 884;80 986;80 422;79 428;.;.;.;.;.;.;.;.;.;.
Przeciętny dobowy stan taboru autobusowego (w ciągu roku);szt.;.;.;.;685;729;878;1118;1495;1714;.;2707;3255;3338;3736;4265;4714;4705;5082;5339;5681;6174;6832;7595;8285;9211;9484;10 851;11 594;12 201;12 420;12 637;12 415;12 835;13 404;14 209;14 301;14 863;15 014;14 817;14 444;.;.;.;.;.;.;.;.;.
Przeciętny dobowy stan taboru tramwajowego (w ciągu roku);szt.;.;.;.;3290;3385;3501;3683;3737;3797;.;4070;4192;4278;4271;4292;4328;4354;4397;4439;4489;4539;4538;4535;4508;4528;4556;4660;4761;4762;4867;4902;4895;4848;4787;4781;4772;4741;4704;4663;4606;.;.;.;.;.;.;.;.;.
Przeciętny dobowy stan taboru trolejbusowego (w ciągu roku);szt.;.;.;.;161;156;160;158;153;176;.;232;261;293;324;336;348;350;361;268;334;311;271;222;163;124;114;102;116;105;89;114;161;197;230;249;257;268;276;270;260;.;.;.;.;.;.;.;.;.
Przeciętny dobowy przebieg autobusu (w ciągu roku);km;.;.;.;.;.;239;246;234;240;233;230;239;239;237;234;230;235;238;237;238;233;231;232;233;230;235;235;234;234;231;236;221;216;214;218;217;219;220;223;221;219;216;229;205;210;212;215;212;212
Przeciętny dobowy przebieg tramwaju (w ciągu roku);km;.;.;.;.;.;199;201;203;205;208;212;213;205;206;208;209;211;212;214;212;209;210;215;218;218;219;218;219;217;218;215;214;204;202;203;197;198;200;198;198;198;194;197;194;207;198;197;198;199
Przeciętny dobowy przebieg trolejbusu (w ciągu roku);km;.;.;.;.;.;214;225;226;230;230;237;235;228;222;223;222;222;211;197;197;198;198;207;223;247;257;241;233;247;232;204;192;297;203;210;205;210;202;190;187;177;190;177;173;178;201;188;178;184
Przeciętny roczny przebieg autobusu (w ciągu roku);km;.;.;.;.;.;87 355,0;89 830,0;85 588,0;87 489,0;85 225,0;84 074,0;87 388,0;87 115,0;86 533,0;85 562,0;84 074,0;85 660,0;86 837,0;86 666,0;87 044,0;85 007,0;84 368,0;84 839,0;85 032,0;83 930,0;85 716,0;85 707,0;85 344,0;85 311,0;84 437,0;86 122,0;80 791,0;78 824,0;78 155,0;79 609,0;79 280,0;79 941,0;80 307,0;81 305,0;80 695,0;79 954,0;78 880,0;83 580,0;74 874,0;76 753,0;77 245,0;78 381,0;77 200,0;77 513,0
Przeciętny roczny przebieg tramwaju (w ciągu roku);km;.;.;.;.;.;72 676,0;73 323,0;74 038,0;74 870,0;75 742,0;77 300,0;77 610,0;74 813,0;75 101,0;75 812,0;76 301,0;76 853,0;77 535,0;78 153,0;77 539,0;76 312,0;76 700,0;78 623,0;79 455,0;79 646,0;79 754,0;79 666,0;79 757,0;79 203,0;79 624,0;78 351,0;78 139,0;74 640,0;73 825,0;74 134,0;71 893,0;72 155,0;73 152,0;72 451,0;72 089,0;72 289,0;70 924,0;72 040,0;70 735,0;75 633,0;72 108,0;71 969,0;72 377,0;72 778,0
Przeciętny roczny przebieg trolejbusu;km;.;.;.;.;.;78 000,0;82 304,0;82 598,0;83 902,0;84 115,0;86 516,0;85 837,0;83 260,0;81 005,0;81 570,0;81 038,0;81 033,0;76 969,0;71 989,0;72 019,0;72 332,0;72 377,0;75 422,0;81 524,0;90 233,0;93 965,0;88 044,0;85 111,0;90 220,0;85 549,0;74 444,0;69 991,0;71 854,0;74 026,0;76 718,0;74 769,0;76 524,0;73 903,0;69 389,0;68 359,0;64 427,0;69 226,0;64 712,0;63 110,0;65 102,0;73 493,0;68 752,0;65 114,0;67 333,0
Przewozy pasażerów w komunikacji miejskiej w ciągu roku;mln. pasażerów;.;.;.;2132,5;2272,9;2502,5;2656,1;2910;3124,9;3378,2;3634,1;3985,3;4243;4419;4740,2;5077,7;5313,2;5105,4;4687,5;4817,1;4730,2;4930;5191,9;5501,6;5837;6292,6;6558,9;6855,3;7137;7214,8;7370;7675,2;8251,9;8342,2;8686,7;8965,7;9078,5;8995,8;8965,4;8513,1;7264,1;6274,4;6030,2;5962;5980,2;5909,9;5363,7;5225,1;4933,6
Przewozy pasażerów w komunikacji miejskiej w ciągu doby;mln. pasażerów;.;.;.;5,8;6,3;6,9;7,3;7,7;8,6;9,3;10;10,9;11,6;12,1;13;13,9;14,6;14;12,8;13,2;13;13,2;14,2;15,1;16;17,2;18;18,8;19,6;19,8;20,2;21;22,6;22,6;23,8;24,6;24,9;24,6;24,6;23,3;19,9;17,2;16,9;16,3;16,4;16,2;14,7;14,3;13,5
