﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
Przeciętne miesięczne przychody na 1 gospodarstwo domowe pracowników;zł;0,28;0,28;0,3;0,31;0,32;0,33;0,35;0,36;0,38;0,37;0,39;0,41;0,44;0,45;0,48;.;0,58;0,66;0,73;0,79;.;0,97;1,06;1,18;1,47;2,38;3,22;3,88;4,48;5,32;6,61;11,72;44,46;217,71;383,68;556,91;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,17;0,19;0,18;0,19;0,19;0,2;0,21;0,21;0,21;0,21;0,23;0,23;0,24;0,25;.;0,3;0,35;0,37;0,4;.;0,5;0,57;0,61;0,81;1,17;1,59;1,97;2,37;2,85;3,53;6,24;23,35;120,94;205,41;313,12;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,23;0,25;0,25;0,27;0,28;0,3;0,31;0,33;0,3;0,33;0,35;0,37;0,37;0,4;.;0,46;0,51;0,56;0,61;.;0,78;0,86;0,97;1,18;1,85;2,58;3,1;3,7;4,35;5,47;9,53;35,85;183,41;330,6;482,83;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,28;0,3;0,31;0,33;0,35;0,36;0,38;0,4;0,41;0,42;0,43;0,45;0,48;0,5;.;0,59;0,68;0,74;0,8;.;0,97;1,08;1,19;1,48;2,33;3,15;3,92;4,53;5,38;6,63;11,76;44,92;219,66;389,86;582,13;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,3;0,33;0,35;0,35;0,37;0,38;0,41;0,43;0,43;0,45;0,48;0,5;0,52;0,56;.;0,64;0,73;0,81;0,88;.;1,05;1,16;1,29;1,61;2,62;3,46;4,18;4,81;5,74;7,1;12,57;48,9;235,65;410,12;587,48;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,36;0,34;0,36;0,38;0,39;0,4;0,42;0,44;0,45;0,47;0,48;0,52;0,54;0,58;.;0,67;0,75;0,84;0,89;.;1,07;1,17;1,28;1,61;2,79;3,72;4,27;4,97;5,89;7,31;13,34;50,04;238,46;412,2;593,17;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,35;0,38;0,38;0,42;0,4;0,42;0,43;0,48;0,47;0,49;0,52;0,55;0,53;0,62;.;0,7;0,79;0,84;0,94;.;1,18;1,27;1,38;1,82;3,32;4,17;4,84;5,47;6,49;7,99;14,52;54,5;259,29;449,42;607,79;.;.;.;.;.
Przeciętne miesięczne przychody na 1 gospodarstwo domowe pracowników na stanowiskach robotniczych;zł;0,27;0,27;0,29;0,3;0,31;0,32;0,32;0,34;0,36;0,34;0,35;0,37;0,4;0,41;0,45;.;0,55;0,63;0,7;0,75;.;0,92;1,02;1,14;1,44;2,38;3,18;3,81;4,37;5,19;6,46;11,47;43;203,34;351,3;511,23;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,16;0,17;0,18;0,18;0,19;0,19;0,19;0,2;0,2;0,2;0,2;0,23;0,23;0,23;0,24;.;0,27;0,3;0,3;0,34;.;0,41;0,46;0,54;0,65;1,06;1,46;1,79;2,15;2,61;3,14;5,41;19,42;103,57;164,98;259,64;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,22;0,22;0,24;0,24;0,26;0,26;0,27;0,28;0,3;0,27;0,29;0,3;0,32;0,32;0,37;.;0,41;0,47;0,52;0,58;.;0,72;0,79;0,89;1,12;1,79;2,46;2,92;3,56;4,14;5,17;8,93;32,58;166,95;288,91;426,31;.;.;.;.;.
