﻿Wskaźnik;Jednostka;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997
Przeciętne miesięczne rozchody na 1 gospodarstwo domowe pracowników;zł;0,27;0,26;0,29;0,3;0,32;0,33;0,34;0,36;0,38;0,37;0,38;0,41;0,43;0,44;0,47;.;0,56;0,65;0,71;0,77;.;0,95;1,04;1,16;1,41;2,31;2,82;3,38;3,86;4,59;5,73;9,71;34,1;178,28;329,03;465,06;.;.;.;.;.
gospodarstwa 1-osobowe;zł;.;0,16;0,18;0,18;0,18;0,19;0,19;0,21;0,21;0,21;0,21;0,23;0,23;0,23;0,25;.;0,29;0,35;0,36;0,39;.;0,49;0,56;0,59;0,77;1,12;1,44;1,81;2,13;2,6;3,32;5,45;18,69;100,36;187,39;275,54;.;.;.;.;.
gospodarstwa 2-osobowe;zł;.;0,22;0,24;0,25;0,26;0,27;0,29;0,3;0,32;0,3;0,32;0,34;0,36;0,36;0,39;.;0,44;0,5;0,55;0,6;.;0,76;0,84;0,95;1,14;1,79;2,23;2,68;3,14;3,71;4,66;7,76;27,37;145,38;278,26;400,37;.;.;.;.;.
gospodarstwa 3-osobowe;zł;.;0,27;0,29;0,31;0,33;0,34;0,36;0,37;0,39;0,39;0,41;0,42;0,45;0,47;0,49;.;0,57;0,66;0,73;0,78;.;0,95;1,05;1,16;1,42;2,25;2,79;3,36;3,87;4,61;5,73;9,76;34,76;179,42;330,33;480,35;.;.;.;.;.
gospodarstwa 4-osobowe;zł;.;0,29;0,32;0,34;0,35;0,36;0,38;0,4;0,42;0,42;0,44;0,47;0,49;0,51;0,55;.;0,62;0,71;0,8;0,86;.;1,03;1,13;1,27;1,55;2,54;3,05;3,69;4,19;4,99;6,21;10,58;37,41;195,37;355,6;495,83;.;.;.;.;.
gospodarstwa 5-osobowe;zł;.;0,32;0,33;0,36;0,38;0,38;0,39;0,41;0,42;0,44;0,46;0,48;0,51;0,52;0,57;.;0,64;0,74;0,82;0,87;.;1,06;1,15;1,26;1,54;2,7;3,23;3,74;4,32;5,08;6,34;10,92;38,81;198,16;357,56;497,58;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;.;0,33;0,37;0,38;0,41;0,4;0,41;0,43;0,47;0,46;0,49;0,52;0,54;0,52;0,6;.;0,67;0,78;0,84;0,94;.;1,16;1,25;1,35;1,72;3,23;3,5;4,11;4,68;5,52;6,64;11,53;39,85;207,91;378,53;496,94;.;.;.;.;.
Przeciętne miesięczne rozchody na 1 gospodarstwo domowe pracowników na stanowiskach robotniczych;zł;0,26;0,26;0,28;0,3;0,31;0,31;0,32;0,34;0,35;0,33;0,34;0,36;0,39;0,4;0,44;.;0,52;0,61;0,68;0,74;.;0,9;0,99;1,11;1,38;2,29;2,74;3,27;3,73;4,4;5,49;9,35;32,6;166,1;299,24;424,91;.;.;.;.;.
gospodarstwa 1-osobowe;zł;0,15;0,16;0,17;0,17;0,18;0,19;0,18;0,2;0,19;0,19;0,2;0,22;0,23;0,23;0,23;.;0,25;0,29;0,3;0,33;.;0,39;0,46;0,52;0,63;0,98;1,3;1,63;1,84;2,36;2,78;4,66;15,11;83,75;149,6;221,35;.;.;.;.;.
gospodarstwa 2-osobowe;zł;0,22;0,22;0,24;0,24;0,26;0,26;0,27;0,28;0,29;0,27;0,28;0,3;0,31;0,31;0,36;.;0,39;0,46;0,51;0,56;.;0,7;0,77;0,87;1,07;1,72;2,04;2,49;2,95;3,41;4,28;6,98;24,21;129,4;238,49;347,26;.;.;.;.;.
gospodarstwa 3-osobowe;zł;0,26;0,28;0,29;0,3;0,32;0,32;0,32;0,34;0,36;0,34;0,36;0,38;0,4;0,41;0,45;.;0,5;0,6;0,68;0,73;.;0,88;0,97;1,09;1,36;2,16;2,65;3,18;3,63;4,3;5,36;9,12;32,06;163,49;291,61;425,16;.;.;.;.;.
gospodarstwa 4-osobowe;zł;0,29;0,3;0,32;0,33;0,34;0,35;0,35;0,37;0,39;0,38;0,39;0,42;0,44;0,47;0,5;.;0,56;0,65;0,74;0,8;.;0,94;1,06;1,2;1,47;2,42;2,9;3,48;3,96;4,71;5,84;10,1;35,52;178,12;317,92;448,69;.;.;.;.;.
gospodarstwa 5-osobowe;zł;0,33;0,33;0,33;0,35;0,37;0,38;0,37;0,38;0,4;0,4;0,42;0,44;0,47;0,49;0,54;.;0,59;0,69;0,79;0,83;.;1,01;1,09;1,2;1,47;2,58;3,07;3,55;4,14;4,84;6,05;10,38;36,45;184,62;327,43;460,53;.;.;.;.;.
gospodarstwa 6-osobowe i większe;zł;0,35;0,33;0,37;0,38;0,41;0,4;0,4;0,42;0,45;0,43;0,45;0,48;0,51;0,49;0,55;.;0,64;0,74;0,8;0,91;.;1,14;1,25;1,34;1,71;3,25;3,41;4,02;4,57;5,36;6,47;11,27;38,88;198,41;357,64;453,14;.;.;.;.;.
