﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Przychody z działalności gastronomicznej (ceny bieżące);tys. zł;.;100;120;120;239;360,2;491,8;758,5;873,5;962,2;1093,6;1301,7;1331,2;1451,5;1442,7;1582,1;1714,5;1913,3;1982;2121;2280;2530;2750;2990;3162,5;3444,7;3808,7;4293,7;4960,1;5918,4;6696,8;7566,3;8406,8;9195,7;10 230,6;12 527,7;21 252,4;24 089,5;28 040,5;33 109,4;40 597,5;50 707,3;78 348,4;260 817,1;967 333,7;.;2 838 270,0;4 069 080,0;5 510 030,0;7 026 961,5;8 592 780,5;10 698 871,8;12 331 963,6
sprzedaż towarów handlowych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;554 260,0;850 440,0;1 310 930,0;1 324 832,1;1 454 681,3;2 079 258,0;2 505 017,0
produkcja gastronomiczna;tys. zł;.;.;.;.;.;.;.;.;.;269,7;305;362,5;385,2;430,1;436,2;480,1;486,8;545,5;579,8;618,2;667,3;820,4;904,5;989,3;1039,1;1119,5;1235,2;1406,3;1591,1;1832,5;2050;2270;2450;2668,5;2975,9;3560;5840;6915,3;7980;9041,1;10 740,9;.;.;.;.;.;1 302 370,0;1 717 150,0;2 171 290,0;3 073 900,6;3 951 773,3;5 080 172,8;5 857 682,0
sprzedaż napojów alkoholowych;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;800;850;920;1030;1060;1266,2;1340;.;.;.;1705,1;.;.;7812,3;.;11 233,9;13 935,6;.;.;.;.;.;932 750,0;1 428 250,0;1 921 700,0;2 459 547,6;2 965 575,4;3 187 951,4;3 549 977,8
pozostała działalność;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;48 890,0;73 240,0;106 110,0;168 681,2;220 750,5;351 489,6;419 286,8
Placówki gastronomiczne (stan w dniu 31 XII);szt.;0;13 700;10 600;8500;7281;8465;10 070;15 792;16 507;16 373;16 003;16 632;14 759;14 435;14 382;14 501;14 616;14 822;14 801;15 444;16 029;17 019;17 762;18 351;18 917;19 629;21 020;22 258;26 771;28 333;29 544;31 550;33 856;35 045;35 878;34 290;35 795;36 336;36 343;37 110;38 056;38 679;38 655;42 512;38 545;.;52 861;56 072;58 257;60 845;61 280;64 985;70 318
restauracje;szt.;0;.;.;.;.;.;.;.;.;2739;2870;2994;3072;3145;3167;3252;3297;3266;3331;3440;3545;3668;3796;3913;4018;4069;4130;4100;3515;3521;3550;3630;3737;3769;3825;3995;4018;4064;4086;4092;4116;.;.;.;.;.;8035;4214;4486;4857;5180;5010;6237
bary;szt.;0;.;.;.;.;.;.;.;.;2939;3068;3609;3828;4360;4853;5075;5135;5325;5420;5816;6099;6432;6640;6833;7023;7159;7387;7630;8137;8743;9200;9541;9898;10 166;10 221;4710;4772;4891;4968;5054;5190;.;.;.;.;.;23 206;23 264;23 428;23 493;22 710;28 516;31 061
stołówki;szt.;0;.;.;.;668;1491;3170;8980;9513;9208;8346;6863;5149;4465;4147;4050;4016;3978;3613;3691;3849;4136;4279;4430;4608;5010;5849;6783;8857;8694;8716;9295;10 108;10 416;10 830;10 660;12 369;12 382;12 193;12 359;12 490;12 445;12 097;11 478;5327;.;3277;3309;3613;3815;5674;4847;5423
punkty gastronomiczne;szt.;0;.;.;.;.;.;.;.;.;1487;1719;3166;2710;2465;2215;2124;2168;2253;2437;2497;2536;2783;3047;3175;3268;3391;3654;3745;6262;7375;8078;9084;10 113;10 694;11 002;14 925;14 636;14 999;15 096;15 605;16 260;.;.;.;.;.;18 343;25 285;26 730;28 680;27 716;26 612;27 597
