﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Punkty sprzedaży detalicznej (stan w dniu 31 XII);173 604;139 600;127 800;113 900;101 019;102 600;106 500;115 200;126 600;132 308;137 900;147 300;151 000;155 700;159 345;163 100;166 600;167 900;175 800;181 548;184 600;189 300;193 200;195 400;196 242;198 200;201 800;203 800;204 602;204 247;202 065;200 377;201 483;202 370;203 657;205 421;209 719;214 330;217 910;219 759;222 193;224 357;226 993;249 493;469 709;630 000;700 000;785 000;850 000;890 000;927 000;960 000;950 000;
sklepy;154 524;124 258;113 755;101 382;90 116;88 610;86 543;87 261;92 654;94 322;99 928;107 736;112 041;117 179;118 308;120 962;123 673;124 284;124 321;116 770;117 485;119 304;120 926;122 450;123 471;124 828;126 396;127 837;129 004;129 913;129 006;127 849;128 484;128 790;129 944;131 898;134 930;138 055;140 286;142 084;144 433;146 893;149 886;152 071;237 425;310 966;352 502;380 582;415 449;425 600;405 563;424 362;451 785;
sektor publiczny;24 650;22 443;27 049;45 582;56 654;65 713;72 180;79 315;84 952;87 515;92 352;94 933;100 510;106 669;108 489;112 033;115 407;116 872;117 111;109 667;110 485;112 212;113 692;115 233;116 474;117 992;119 492;121 063;122 303;123 028;121 970;120 140;119 635;119 135;119 287;119 767;119 190;119 726;120 310;121 432;123 330;124 593;125 821;27 354;14 312;9440;9613;8620;7533;6287;5399;4048;3063;
sektor prywatny;129 874;101 815;86 706;55 800;33 462;22 897;14 363;7946;7702;6807;7576;12 803;11 531;10 510;9819;8929;8266;7412;7210;7103;7000;7092;7234;7217;6997;6836;6904;6774;6701;6885;7036;7709;8849;9655;10 657;12 131;15 740;18 329;19 976;20 652;21 103;22 300;24 065;124 717;223 113;301 526;342 889;371 962;407 916;419 313;400 164;420 314;448 722;
ogólnospożywcze;6879;6263;5939;8185;.;.;.;.;.;17 796;18 780;19 113;20 572;38 676;35 556;36 376;21 787;21 817;25 456;26 021;25 749;25 976;26 240;26 437;26 371;26 515;27 225;27 678;28 060;28 264;27 960;26 671;.;.;21 237;23 002;24 783;25 434;25 673;26 214;26 154;.;.;.;.;73 768;85 382;101 122;131 957;126 752;137 338;140 811;147 207;
owocowo-warzywne;192;175;210;536;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3125;3095;3135;3207;3407;3537;3655;3807;3931;4160;4370;4989;5017;.;.;.;.;.;.;.;.;5438;.;.;.;.;8923;7978;10 959;7593;6950;6315;6470;6935;
mięsne;929;846;1167;5138;.;.;.;.;.;4604;4858;4983;5457;5585;.;.;.;.;.;7597;7593;7613;7639;7639;7593;7646;7795;7845;7845;7833;7647;7244;.;.;6836;7883;7967;7954;7864;7860;7844;.;.;.;.;17 634;19 733;26 181;16 877;15 960;14 041;14 315;15 056;
rybne;277;253;277;374;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;623;.;.;.;.;1077;1085;1077;1082;1088;1088;1340;1292;.;.;.;.;.;.;.;.;.;.;.;.;.;2667;2492;5499;2301;1408;1400;1508;1619;
piekarniczo-ciastkarskie;362;330;715;1712;.;.;.;.;.;3912;4128;4092;4137;4141;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4987;5634;7476;3738;4034;3198;3520;3773;
z napojami alkoholowymi;343;312;296;211;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1191;1217;1246;1272;1317;1333;1326;1339;1333;1294;1262;1893;1800;.;.;1599;1413;1316;1128;1138;1213;1334;.;.;.;.;6260;6324;8003;6765;5311;2991;2830;2731;
z kosmetykami i wyrobami toaletowymi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2090;2269;2116;2165;2117;2543;2541;2560;2604;2630;2651;2669;2782;2745;2773;2829;2905;2934;.;.;.;.;.;.;.;.;.;.;.;.;.;8226;8690;13 005;10 177;11 342;6178;6548;7078;
z wyrobami włókienniczymi;1395;1270;1367;2662;.;.;.;.;.;4437;4682;4992;5363;5710;3668;3727;3573;3486;3358;3175;3134;3137;3145;3133;3107;3125;3124;3057;2999;2959;2983;2900;.;.;.;.;.;.;.;.;.;.;.;.;.;9207;9861;11 616;6851;6472;3566;4009;4570;
z wyrobami odzieżowymi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3042;3446;4034;4321;4657;5031;5053;5104;5180;5289;5335;5431;6559;6558;6362;6360;8802;8774;.;.;.;.;.;.;.;.;.;.;.;.;.;22 283;21 000;33 626;32 914;29 776;27 201;30 503;35 051;
z obuwiem i wyrobami skórzanymi;457;416;547;1087;.;.;.;.;.;1308;1380;1502;1604;1710;5011;5064;5129;4808;4874;5449;5434;5517;5515;5526;5574;5608;6070;6089;6048;5941;6695;6668;.;.;.;.;.;.;.;.;.;.;.;.;.;10 011;9285;15 396;12 246;9708;7185;7875;8703;
z meblami i sprzętem oświetleniowym;39;36;67;101;.;.;.;.;.;414;437;439;522;550;831;921;962;990;991;571;552;551;560;569;570;550;593;598;601;580;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;8445;9480;10 744;7453;6339;5670;6092;6717;
z artykułami radiowo-telewizyjnymi i sprzętem gospodarstwa domowego;111;101;112;229;.;.;.;.;.;1025;1082;1198;1321;1339;1828;2083;3720;3902;4125;4349;4540;4730;4868;5028;5080;5109;5504;5764;5854;6033;6227;6175;.;.;.;.;.;.;.;.;.;.;.;.;.;15 201;16 827;19 639;14 584;12 797;8185;8097;8183;
z artykułami piśmiennymi i księgarnie;.;.;.;.;.;.;.;.;.;2263;2388;2125;2201;2294;3457;3109;3405;3540;3813;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;6176;6937;12 876;7635;12 332;13 575;14 657;16 217;
z pojazdami mechanicznymi;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;17 170;12 881;10 463;10 666;12 058;13 244;
pozostałe;13 666;12 441;16 352;25 347;.;.;.;.;.;51 756;54 620;56 489;59 333;46 664;53 006;55 038;70 681;71 843;67 720;49 992;51 577;52 643;53 462;54 258;54 243;55 273;53 617;54 383;55 219;55 509;50 529;50 665;.;.;89 615;87 469;85 124;85 210;85 635;86 145;82 560;.;.;.;.;117 178;142 879;87 270;141 477;165 956;158 054;165 069;174 701;
stacje benzynowe;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;4559;4796;5344;6018;6548;7253;
sektor publiczny;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1620;1671;1694;1675;1741;1833;
sektor prywatny;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2939;3125;3650;4343;4807;5420;
