﻿Wskaźnik;Jednostka;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Sprzedaż detaliczna towarów (ceny bieżące);tys. zł;5435,5;6250;7330;10 800,0;11 950,0;12 790,0;14 570,0;18 220,0;19 820,0;21 920,0;22 550,3;24 530,0;26 100,0;27 670,0;29 170,3;31 813,1;33 940,7;36 523,4;39 663,9;42 625,2;44 822,0;48 550,4;54 731,9;61 558,6;70 405,1;81 482,5;92 005,6;104 180,0;113 210,5;123 510,5;133 442,2;151 071,1;269 010,9;352 001,6;423 270,0;498 626,2;620 444,6;804 865,8;1 354 574,9;4 602 580,0;26 577 320,0;45 650 780,5;67 267 310,3;96 701 389,5;130 450 174,4;169 585 000,0;213 240 705,8;258 165 800,0;291 197 400,0
sektor publiczny;tys. zł;4484,5;5663;6783;10 400,0;11 548,0;12 432,0;14 250,0;17 350,0;18 998,0;21 150,0;21 950,3;23 990,0;25 600,0;27 240,0;28 740,3;31 385,1;33 490,7;36 043,4;39 153,9;42 068,2;44 256,0;47 987,4;54 151,9;60 975,3;69 766,5;80 729,9;91 062,0;102 912,0;111 663,3;121 669,6;131 292,2;148 572,2;264 046,6;344 665,8;413 569,8;486 168,1;605 471,8;784 201,4;1 315 538,8;1 863 160,0;9 651 370,0;7 845 122,3;9 132 316,9;10 524 402,7;12 011 274,1;12 886 587,8;15 114 546,2;14 475 336,8;14 441 900,0
sektor prywatny;tys. zł;951;587;547;400;402;358;320;870;822;770;600;540;500;430;430;428;450;480;510;557;566;563;580;583,3;638,6;752,6;943,6;1268;1547,2;1840,9;2150;2498,9;4964,3;7335,8;9700,2;12 458,1;14 972,8;20 664,4;39 036,1;2 739 420,0;16 925 950,0;37 805 658,2;58 134 993,4;86 176 986,8;118 438 900,3;156 698 412,2;198 126 159,6;243 690 463,2;276 755 500,0
konsumpcyjnych;tys. zł;.;.;.;.;.;12 130,0;13 690,0;16 980,0;18 160,0;19 850,0;20 310,3;21 860,0;23 130,0;24 310,0;25 500,3;28 053,1;29 480,7;31 513,4;34 213,9;36 665,2;39 310,1;42 460,9;47 530,1;53 457,8;61 565,5;71 726,1;80 775,2;91 556,7;98 366,0;108 275,1;119 059,5;133 428,5;236 598,0;311 724,8;374 999,4;443 063,5;554 562,5;718 319,6;1 203 119,0;4 107 965,7;24 588 910,0;42 367 530,5;61 167 275,2;88 277 829,5;118 709 659,1;152 965 700,0;190 599 705,8;230 283 893,6;248 316 700,0
żywnościowych;tys. zł;.;.;.;.;.;6240,7;7025,8;8145;8884;9601,1;10 300,0;10 890,0;11 577,3;12 204,7;12 749,9;13 930,0;14 831,6;16 033,8;17 333,1;18 712,5;14 880,0;16 270,4;17 960,0;19 830,0;22 006,9;24 612,5;27 565,6;30 020,0;32 815,5;36 630,5;40 072,2;42 482,3;94 474,9;110 396,9;134 050,1;161 071,0;198 361,1;247 607,5;391 390,3;1 449 654,5;10 072 400,0;15 521 265,4;22 063 677,8;31 427 951,6;42 787 664,4;55 963 100,0;68 023 785,2;80 805 895,4;90 503 400,0
przetwory zbożowe, pieczywo i wyroby ciastkarskie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;2000,6;2092,6;2125,7;2203,6;2367,5;2669,8;3118,8;3314,9;3648,7;3745,3;4227,9;6720,6;11 028,8;10 841,8;13 779,6;17 092,3;20 865,1;24 277,5;34 316,2;130 664,4;1 440 350,0;2 809 350,0;3 457 842,2;3 242 130,7;4 435 299,1;6 020 900,0;7 170 401,2;6 691 097,3;6 898 521,3
pieczywo i wyroby ciastkarskie;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1488,1;1550,4;1599,4;1651;1778,4;1909;2163,8;2617,8;2860,7;2972,9;3250,2;5104;8548,7;8477,8;10 779,1;13 566,7;16 357,3;18 563,8;26 331,4;94 064,4;1 118 030,0;2 095 370,0;2 579 066,2;.;.;.;.;.;.
przetwory młynarskie i makaronowe;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;512,5;542,2;526,3;552,6;589,1;760,8;955;697,1;788;772,4;977,7;1616,6;2480,1;2364;3000,5;3525,6;4507,8;5713,7;7984,8;36 600,0;322 320,0;713 980,0;878 776,0;.;.;.;.;.;.
ziemniaki jadalne;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;165,3;184,6;215,6;214,8;244,6;292;469,3;498,7;549,1;575,8;712,4;756,8;1438;1336,9;1108,5;1093,4;1236,4;1161,7;2228,3;6986,9;80 580,0;31 040,0;317 119,8;135 521,1;379 699,9;745 300,0;493 569,5;493 803,0;541 253,8
warzywa i przetwory;tys. zł;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;602;616,8;667,1;745;925,7;1099,9;1072,5;1100,6;1326,9;1716,4;2103,3;2966,8;4393,1;4776,9;5160,2;6047;7398,8;9198,9;13 889,9;42 322,1;503 620,0;465 640,0;607 565,8;739 205,8;1 393 099,7;1 509 300,0;1 773 035,3;2 121 970,0;2 236 232,8
