﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Wydobycie węgla;tys. t;48 742,0;63 896,0;75 302,0;78 702,0;82 837,0;86 899,0;89 516,0;94 352,0;97 528,0;100 520,5;101 332,0;100 050,0;102 522,0;108 364,0;113 764,8;116 944,0;120 695,0;128 494,0;137 634,0;141 457,0;146 486,5;147 802,9;155 511,5;165 875,0;172 866,8;180 007,7;188 918,1;195 844,9;201 828,0;211 490,0;218 608,0;226 872,6;233 627,4;239 087,8;229 987,4;198 637,3;226 962,9;233 624,2;241 970,5;249 388,4;259 339,2;266 206,5;266 503,3;249 448,7;215 257,8;209 629,0;198 382,7;198 584,1;200 703,3;200 713,4;201 832,6;200 961,9;178 546,1;172 732,8
kamiennego;tys. t;47 288,0;59 130,0;70 262,0;74 081,0;78 001,0;82 000,0;84 440,0;88 719,0;91 619,0;94 475,7;95 149,0;94 096,0;94 981,0;99 106,0;104 437,6;106 606,0;109 604,0;113 150,0;117 354,0;118 831,1;121 978,9;123 881,2;128 633,8;135 010,0;140 100,9;145 490,7;150 697,2;156 629,6;162 002,3;171 624,8;179 303,0;186 112,5;192 622,2;201 004,4;193 121,2;163 021,6;189 313,7;191 092,1;191 592,3;191 642,5;192 079,8;193 010,8;193 014,7;177 633,1;147 674,2;140 269,9;131 530,6;130 479,2;133 933,1;137 166,3;137 987,2;137 792,5;115 725,8;111 894,1
energetycznego;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;79 940,0;.;.;.;.;86 992,0;.;.;.;.;102 956,0;106 344,0;109 748,5;113 919,7;117 887,4;126 174,4;132 261,0;137 600,6;143 474,9;150 963,7;146 449,2;125 386,9;145 292,1;146 939,6;139 758,2;130 304,8;130 186,6;130 846,8;130 646,4;120 707,3;99 640,9;96 071,3;87 872,3;85 787,6;89 058,9;87 877,0;87 090,9;85 970,6;70 576,9;62 057,9
gazowego;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;12 564,0;13 113,1;13 199,8;13 102,6;12 673,6;11 800,6;12 791,2;12 830,7;11 172,1;10 389,3;9095,3;7878,4;7249,5;6187,7;12 384,7;20 557,4;20 207,7;20 409,2;21 125,7;18 775,4;14 524,4;13 825,0;13 588,4;13 064,0;14 183,0;17 056,6;20 582,7;20 346,3;19 795,5;19 775,8
koksowego;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;16 930,0;18 589,8;20 166,4;22 009,2;23 459,3;24 971,2;26 246,2;26 874,6;28 750,0;29 846,8;27 288,6;22 876,6;28 935,9;30 553,3;32 170,8;32 974,7;33 549,8;33 786,3;33 568,4;31 171,3;28 782,2;25 764,5;25 600,1;26 136,8;26 517,2;28 086,9;25 735,5;26 678,5;22 039,0;20 279,1
pozostałego;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7650,9;7443,8;7582,5;7598,1;7982;8678,6;8004,6;8806,6;9225,2;9804,6;10 288,1;6879,7;7836,2;7411,5;7278,6;7805,6;8135,7;7968,5;7674,2;6979,1;4726,7;4609,1;4469,8;5490,8;4174;4145,8;4578,1;4797,1;3314,4;9781,3
brunatnego;tys. t;1454;4766;5040;4621;4836;4899;5076;5633;5909;6044,8;6183;5954;7541;9258;9327,2;10 338,0;11 091,0;15 344,0;20 280,0;22 625,9;24 507,6;23 921,7;26 877,7;30 865,0;32 765,9;34 517,0;38 220,9;39 215,3;39 825,7;39 865,2;39 305,0;40 760,1;41 005,2;38 083,4;36 866,2;35 615,7;37 649,2;42 532,1;50 378,2;57 745,9;67 259,4;73 195,7;73 488,6;71 815,6;67 583,6;69 359,1;66 852,1;68 104,9;66 770,2;63 547,1;63 845,4;63 169,4;62 820,3;60 838,7
Produkcja brykietów z węgla kamiennego;tys. t;528;632;716;693;631;667;679;658;676;698,8;648;664;641;683;718,4;675;654;639;623;612,5;571,3;552,6;585,5;1238,8;1496;1590;1675,3;1542,5;1618,8;1692,5;1517,1;1539,2;1612,5;1605,7;1567,1;1510,8;1574,6;1127,8;569,3;857,6;1154,3;1221,2;1301;495,7;77;0,8;—;—;6,6;10;3,1;0,2;0,7;1
Produkcja brykietów z węgla brunatnego;tys. t;41;42;114;167;165;165;141;158;143;182,9;187;233;275;320;313,3;338;345;356;376;335,9;365,1;348,3;345,5;348,7;336,3;354,8;309,1;253,2;170,1;166,8;155,9;157,9;140,3;144,9;163,3;142,1;162,4;151,8;150,4;153,4;154,6;157,8;159,1;136,1;122;123,6;95,3;101,9;92,4;100,3;92,6;79,5;63,1;49
Produkcja koksu z węgla kamiennego (bez formowanego);t;3 575 000;4 465 000;5 091 000;5 773 000;5 987 000;6 368 000;7 413 000;7 902 000;8 521 000;10 036 000;10 510 000;10 899 000;11 145 000;11 566 000;11 930 300;12 566 000;13 108 000;13 879 000;14 220 000;14 457 700;14 764 900;15 199 800;15 712 400;16 168 100;16 548 095;16 833 511;17 247 511;17 738 242;18 054 872;18 260 740;18 846 705;19 912 054;20 206 000;20 036 824;19 849 258;17 918 311;17 306 864;17 122 294;16 620 289;15 995 690;16 397 588;17 065 656;17 070 674;16 548 150;13 713 305;11 428 456;11 080 640;10 256 310;11 456 120;11 579 458;10 339 653;10 535 899;9 847 486;8 475 953
wielkopiecowego;t;1 474 500;1 762 000;2 119 600;2 310 000;2 802 000;3 052 100;3 872 400;4 893 800;5 480 900;6 126 800;5 637 000;5 928 000;6 306 000;6 868 000;7 275 400;7 112 000;7 535 000;7 928 000;7 978 000;7 577 600;7 429 900;7 768 600;7 715 100;7 657 300;7 860 065;7 810 549;7 831 046;8 119 442;8 193 349;8 466 042;8 630 814;9 780 933;10 156 600;9 793 978;9 965 537;9 309 237;8 451 055;8 613 569;8 485 801;8 558 903;8 966 609;9 571 956;9 167 813;8 776 107;6 429 472;5 763 561;4 684 631;5 749 809;7 088 745;7 507 340;6 182 332;6 750 641;6 439 226;5 365 426
pozostałego;t;2 100 500;2 703 000;2 971 400;3 463 000;3 185 000;3 315 900;3 540 600;3 008 200;3 040 100;3 909 200;4 873 000;4 971 000;4 839 000;4 698 000;4 654 900;5 454 000;5 573 000;5 951 000;6 242 000;6 880 100;7 335 000;7 431 200;7 997 300;8 510 800;8 688 030;9 022 962;9 416 465;9 618 800;9 861 523;9 794 698;10 215 891;10 131 121;10 049 400;10 242 846;9 883 721;8 609 074;8 855 809;8 508 725;8 134 488;7 436 787;7 430 979;7 493 700;7 902 861;7 772 043;7 283 833;5 664 895;6 396 009;4 506 501;4 367 375;4 072 118;4 157 321;3 785 258;3 408 260;3 110 527
Produkcja smół koksowniczych;tys. t;128;151;174;209;224;232;263;293;319;393,8;412;430;442;461;480,6;501,1;531,3;549,8;556,7;565,5;588,2;600,3;621,9;624,4;654;671,1;680;719;735,2;763,6;795,4;839,3;870,7;838,2;819,3;751,1;743,9;759,1;734,3;706,1;718,4;737,6;769,7;740,3;647,1;550,3;553,8;514,4;577,9;584,8;526,2;520,6;476,4;434,3
Produkcja benzoli koksowniczych;tys. t;40,6;46,9;60,6;71,2;74,8;76,5;86,4;94,9;105;124,5;133;139;141;142;150,1;157;166;167;171;175,9;183,1;184,8;195,6;199;199,5;201,1;208;218,3;221,9;230,9;231,2;236,2;231,6;216,2;208,6;184,6;182,3;180,7;176,9;173,8;176,7;174,6;191;178,6;155,3;128,4;139,8;127,6;149;151,9;135,5;135,1;120,9;111,6
