﻿Wskaźnik;Jednostka;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993
Produkcja sprzedana w przemyśle (ceny bieżące);tys. zł;129 830,0;142 753,9;159 401,3;186 009,3;211 697,8;247 479,5;274 414,7;297 434,3;309 384,7;319 900,8;303 805,1;671 211,4;854 064,9;1 035 038,4;1 195 327,7;1 471 611,4;1 931 574,6;3 269 539,9;10 272 953,7;57 729 255,8;73 883 701,7;98 378 664,4;138 468 046,8
państwowym;tys. zł;113 258,5;124 058,7;138 347,2;162 073,9;185 328,2;216 520,0;239 670,7;260 099,3;269 543,8;277 461,0;257 972,5;572 133,8;729 676,7;878 107,9;1 044 028,2;1 290 151,1;1 692 978,6;2 831 750,4;8 612 483,4;47 693 301,6;.;.;.
spółdzielczym;tys. zł;13 895,9;15 766,0;17 838,3;20 423,7;22 513,7;26 857,3;29 869,9;31 741,7;33 309,5;34 851,2;36 338,7;79 625,4;95 831,2;117 867,6;101 320,0;115 214,9;143 532,9;239 903,5;794 435,5;2 930 628,8;.;.;.
zakładów organizacji społecznych;tys. zł;445,9;536,1;620;719,6;835,5;807,4;897,1;996,6;1087,3;1218,4;1292,5;2500,1;3301,4;3962,8;4720;5770,7;7272;12 739,8;34 008,8;120 702,4;.;.;.
zakładów wytwórczych i usługowych prowadzonych przez osoby fizyczne;tys. zł;2229,8;2393;2595,8;2792,1;3020,3;3294,8;3977;4596,7;5444;6370,2;7892,9;15 187,1;21 048,2;27 852,8;35 093,8;46 956,0;68 244,7;136 380,6;72 314,9;612 432,6;.;.;.
wydobywczym;tys. zł;8268,5;9033,9;9541,7;10 309,2;11 253,6;11 705,6;12 002,4;12 490,7;12 978,2;12 647,0;10 934,5;45 720,8;59 216,1;72 280,8;87 571,3;109 271,7;148 379,0;248 582,2;516 200,5;3 543 008,4;7 596 784,8;9 619 161,4;11 427 241,4
przetwórczym;tys. zł;121 561,5;133 719,9;149 859,6;175 700,0;200 444,2;235 773,9;262 412,3;284 943,6;296 406,4;307 253,8;292 870,6;625 490,6;794 848,8;962 757,6;1 107 756,4;1 362 339,8;1 783 195,6;3 020 957,7;9 756 753,2;54 186 247,4;66 286 916,9;88 759 503,0;127 040 805,4
paliwowo-energetycznym;tys. zł;12 996,8;14 032,2;14 887,5;18 397,9;20 711,3;25 154,4;26 634,0;27 976,4;28 552,3;28 475,6;27 246,5;100 181,4;121 902,1;145 120,7;174 478,3;218 441,5;290 301,6;494 675,6;1 151 507,4;9 195 088,1;15 215 716,4;21 362 855,3;30 429 113,1
węglowym;tys. zł;5904,3;6213,8;6460;6683,2;6984,9;9116,8;9403,6;9658;10 136,2;9810,5;8303,8;37 195,2;44 756,0;53 717,3;65 915,5;82 370,1;113 720,3;189 783,3;357 526,3;2 335 654,7;4 803 703,7;5 820 616,2;8 760 524,4
paliw;tys. zł;3980,2;4382,9;4589,6;7550,3;9254,2;10 552,2;11 429,1;12 157,8;12 009,5;11 939,6;12 125,8;41 995,4;52 934,4;61 450,2;71 530,1;89 502,3;112 296,3;200 372,7;499 716,7;3 988 862,9;5 326 625,8;8 566 197,2;12 288 202,5
energetycznym;tys. zł;3112,4;3435,6;3837,9;4164,4;4472,3;5485,5;5801,3;6160,7;6406,6;6725,4;6817;20 990,8;24 211,7;29 953,3;37 032,7;46 569,2;64 285,1;104 519,6;294 264,4;2 870 570,5;5 085 386,9;6 976 041,9;9 380 386,2
metalurgicznym;tys. zł;13 205,0;14 319,7;15 906,5;17 961,4;19 589,6;22 476,5;23 770,2;25 330,7;25 496,9;28 479,0;24 080,3;52 282,5;72 506,2;93 241,6;112 910,0;140 752,0;191 489,7;326 894,6;1 035 390,5;7 347 093,3;6 356 015,6;7 190 748,4;9 552 449,6
hutnictwa żelaza;tys. zł;9528,6;10 220,5;11 113,8;12 040,8;12 957,8;14 361,8;15 352,6;16 484,8;16 611,0;16 821,8;13 915,8;36 102,6;45 961,7;57 752,9;72 029,8;90 800,2;120 449,6;190 774,3;631 358,4;4 527 343,4;4 296 776,0;4 635 468,7;6 312 799,6
