﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja surówek i żelazostopów wielkopiecowych w przeliczeniu na surówkę przeróbczą;tys. t;781;941;1239;1391;1533;1616;1836;2359;2663;3112,1;3506;3682;3864;4374;4563;4770;5311;5395;5643;5760;5855;6581;6840;7028;7296;7496,7;7814,6;8136,7;8212,9;8206,1;8320;10 079,2;11 668,0;11 527,3;11 953,2;9351,2;8522,6;9719,4;9980,6;9806,9;10 573,9;10 476,1;10 263,7;9487,6;8657,7;6515,2;6497,6;6297,8;7082,4;7546;6799,5;7480,3;6325,8;5282,5
Produkcja surówek i żelazostopów wielkopiecowych w wadze rzeczywistej;tys. t;.;.;.;.;1399;1485;1695;2170;2481;2920;3263,3;3430,3;3592,3;4087,6;4252,8;4426,9;4932,7;4992,9;5268,1;5375,3;5611,1;6327,3;6564,1;6734,2;6983,8;7185,8;7422,6;7729,9;7787,1;7751,9;7897,3;9651;11 234,9;11 104,0;11 509,6;8980,1;8188,7;9372,2;9625,3;9435,5;10 193,5;10 121,4;9929,1;9166,5;8423,4;6354,5;6359;6161,6;6931,9;7419,7;6600,1;7343,1;6178,6;5233,2
surówki przeróbczej;tys. t;.;.;.;.;1102;1226;1426;1790;2096;2443,4;2697,8;2805,9;2915,3;3397;3524,3;3642,3;4066,9;4122,5;4468,9;4593,4;4918,5;5620,7;5799,8;5875,6;6051,9;6315,2;6469,8;6703,9;6715,5;6638,2;6795,4;8563,8;10 103,2;10 070,9;10 357,4;8020,7;7294,4;8395,4;8647,1;8448,6;9148,3;9178,7;9032,3;8319,2;7841,1;5999,1;6021,3;5899,1;6661,5;7145,9;6320,9;7032,1;5840,7;5036,3
surówki odlewniczej;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;652;.;.;.;.;667;.;.;.;.;794,4;728,2;821,3;896,6;938,5;965,9;977,6;952,9;1006;894,6;1020,6;849,3;802,5;890,9;886,3;885,6;947,9;845;804,6;756,1;511,1;298;294,2;206,1;204,1;227,4;219,2;263,4;287,8;196,8
pozostałych;tys. t;.;.;.;.;297;259;269;380;385;476,6;565,5;624,4;677;690,6;76,5;784,6;865,8;870,4;799,2;114,9;692,6;706,6;764,3;858,6;137,5;142,4;131,5;129,4;133,1;147,8;124,3;134,3;125,7;138,5;131,6;110,1;91,8;85,9;91,9;101,3;97,3;97,7;92,2;91,2;71,2;57,4;43,5;56,4;66,3;46,4;60;47,6;50,1;0,1
Produkcja stali surowej;tys. t;1219;1579;1955;2304;2515;2787;3179;3604;3949;4426,4;5014,3;5304,1;5663;6159,6;6680,9;7234;7684;8004;8573,4;9088,1;9850,4;10 454,1;11 006,9;11 290,6;11 795,2;12 738,0;13 476,3;14 057,2;14 565,1;15 003,8;15 639,4;17 840,9;19 251,1;19 217,9;19 485,1;15 718,8;14 794,7;16 235,9;16 533,0;16 126,4;17 143,8;17 144,7;16 872,8;15 093,6;13 624,9;10 432,4;9866,5;9938,8;11 113,3;11 890,4;10 432,3;11 585,1;9915,1;8853,2
z pieców martenowskich;tys. t;.;.;.;.;.;.;.;.;.;4113,5;4677,1;4934,5;5244,8;5666,5;6143,6;6661;7062,2;7342;7866,6;8348,8;8439,6;8659,4;8987,9;9124,3;9364,1;9516,5;9536,9;9663,8;9855,7;9985,8;10 008,2;10 034,9;9535,4;9057,5;9101,8;7509,3;6299,8;6986,4;7059,2;6894,2;7088,5;7009,1;6620,1;5386,5;3964,7;2637,7;1820,4;1660,3;1631;1526;1118,3;1057,2;494,5;378,4
z pieców elektrycznych;tys. t;.;.;.;.;.;.;.;.;.;303,6;327,9;354,7;398,6;475,9;513,5;539,7;579,8;614,1;657,6;700,1;734,2;785,5;833,2;864,5;904,6;1028,8;1202,8;1287,4;1394,8;1657,4;2256,3;2543,8;2623,9;2636,3;2725,2;2186,3;2213,9;2350,1;2428,2;2401,4;2506,8;2638,2;2801,7;2480;2446,9;2047,5;1797,4;2114,5;2446,6;2676,5;2554;2994,4;3196,7;3022,4
z pieców konwertorowo-tlenowych;tys. t;.;.;.;.;.;.;.;.;.;9,3;9,3;14,9;19,6;17,2;23,8;33,3;42;47,9;49,2;39,2;676,6;1009,2;1185,8;1301,8;1489,3;2155,5;2696,8;3063;3273,1;3355;3369;5256;7085;7515;7608,5;5981,9;6248,5;6868,7;7015,9;6801,5;7521,5;7471,7;7424,7;7212,3;7207;5745,5;6247,7;6162;7033,5;7685,5;6757,5;7531,3;6222,5;5451,8
z pozostałych pieców;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;37,2;37,2;39,8;43;41,5;5,6;5,9;6,2;6,8;9,1;49,6;41,3;32,5;30,7;29,7;29,3;27;25,7;26,3;14,8;6,3;1,7;1;2;2,2;2,4;2,5;2,2;1,4;0,6
