﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja rudy siarkowej w wadze rzeczywistej;tys. t;—;—;—;—;—;—;—;—;—;—;—;—;30,1;40,9;147,4;1150;1740,3;1790,8;2439,3;2959,2;3077,2;3036,6;2897,8;2955,4;4031,1;3120;2935,2;3890,3;2556;2646,1;3212,5;2107,3;2843,2;1266,2;2042,9;782,8;1768,9;2082,1;2342,2;2886,8;2444,7;2754,8;2635,7;2592,3;2731,8;2719,6;2411,1;—;—;—;—;—;—;—
Produkcja rudy siarkowej w przeliczeniu na czysty składnik;tys. t S;—;—;—;—;—;—;—;—;—;—;—;—;—;—;25,4;231,2;341,7;369;473,1;622;663,4;686,2;718,7;721,6;910,9;691,5;674,4;881,5;583,5;626,1;766;529,1;730,8;325,1;521,2;201,2;443,8;502,7;591,4;656,6;549,9;693,7;678,7;681,8;724,5;720,8;646,5;—;—;—;—;—;—;—
Produkcja siarki w przeliczeniu na 100%;tys. t S;.;.;.;8,7;10,6;12,5;12,9;12,8;12,3;12,4;13,7;14,6;13,5;17,2;26,2;133;210;235;295;431;477;722;1316;1942;2683,3;2713,3;2926,8;3545,9;4093,2;4771,4;4891;4765,3;5050,6;4829,8;5164,3;4773,3;4935,3;4998,7;4990,4;4875,5;4894,1;4965,9;4999,7;4864,4;4660,4;3934,5;2917,2;1893,5;2163;2427,1;1783,4;1719,2;1403,9;1245
Produkcja anhydrytu;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;215,5;191,4;233,5;267,4;234,4;190,8;235,9;217;210,6;192;206;208,4;215,3;193,4;212,3;163,5;201,4;207,7;270,2;278;243,2;185,5;238,9;283,2;160,6;100;91;103,7;111,4;156,9;148,4;135;166,1;237
Produkcja soli;tys. t;514;564;714;796;866;921;1013;1101;1172;1237;1269;1301;1611;1828;1946;2051;2074;2132;2241;2297;2409;2488;2634;2817;2904,3;2962,3;3010,3;3078,3;3295;3524,3;3818,2;4357;4392,6;4428,9;4533,4;4272,5;4329,4;4326,5;4711,5;4865,1;5418,5;6175,1;6179,4;4669,9;4055;3840,2;3887,2;3816,6;4074,2;4214,4;4163,1;3978,7;4004,6;4206,9
kamiennej;tys. t;227;251;313;330;339;343;355;368;382;385;395;378;392;508;521;608;608;645;660;674;762;830;969;1166;1225;1221,7;1209,2;1259,7;1405,4;1581,9;1651,9;1561,9;1435,3;1458,1;1464,1;1312,5;1337,8;1130,3;1185,1;1200,5;1222,3;1233,6;1247,1;994,4;556;556,3;581,5;717,7;750,3;812,1;922,7;790,8;748,1;923,2
warzonej;tys. t;79;87;107;120;139;144;173;191;185;208;218;217;229;228;223;236;242;246;269;286;292;294;291;271;276,9;278,1;288,6;299,3;306,8;324,7;428,6;783,2;879,5;867,6;825;746,6;747,9;787;874;867,7;822,7;844;858,2;813,3;738,4;733,6;761,2;729,3;748,7;799,1;791,2;719,2;721,4;727,1
z solanek w przeliczeniu na 100%;tys. t NaCl;208;226;294;346;388;434;485;542;605;644;656;706;990;1092;1202;1207;1224;1241;1312;1337;1355;1364;1374;1380;1402,4;1462,5;1512,5;1519,3;1582,8;1617,7;1737,7;2011,9;2077,8;2103,2;2244,3;2213,4;2243,7;2409,2;2652,4;2796,9;3373,5;4097,5;4074,1;2862,2;2760,6;2550,3;2544,5;2369,6;2575,2;2603,2;2449,2;2468,7;2535,7;2487,7
Produkcja barytów w wadze rzeczywistej;tys. t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;36,8;37,3;48,1;49,5;50,8;53,2;55,2;59,9;54,9;77,9;57,3;58,5;60,1;93,3;100,1;103,7;115,3;123,3;122,8;123,7;127,3;109,8;104;90,1;90,6;91,2;77,1;73,1;63,1;57,9;25,3;18,3;15,7;—;0;6,8;6,7;3,7;.;—
Produkcja barytów w przeliczeniu na 85%;tys. t 85% BaSO4;.;.;.;.;.;.;.;.;.;.;.;.;.;.;35;36;45,2;45,7;46,3;48,5;49,6;52,6;47,8;71,2;51,6;51,3;52,7;74,1;82,4;83;90,8;99,8;99;98,6;97,2;83,2;68,5;53,1;53,4;55,2;51,2;53,5;48,1;42;20,5;16,2;10,9;—;0;6,1;6,2;3,4;.;—
