﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja tarcicy;tys. m3;1962;3090;3670;4392;4319;4996;4823;5603;6438;6616;6480;6757;6549;6371;6272;6345;6363;6363;6470;6451;6513;6519;6782;6728;6817,7;6945,7;7075,2;7394,9;7588,4;8012,4;7984,4;7812;7682,1;7316,8;7428,7;6474,6;6117,6;6470,8;6484;6366,3;5985,4;5802,6;5798,9;5159,1;3995,2;3377,6;3381,4;3460,5;3424,4;3475,7;3253,6;3758,1;3649,9;3485,2
iglastej;tys. m3;.;.;.;.;.;.;.;.;.;5999,5;5883,9;6087,3;5847,1;5715,4;5609;5576,3;5471;5483,1;5570,6;5628;5681,5;5571,6;5788,1;5746,1;5884,5;5976,2;6058,2;6341,9;6501;6784,5;6757,2;6664,6;6527;6211,6;6308,9;5568,3;5414,4;5817,9;5782,1;5647,5;5227;5021;4942;4329,6;3332,1;2832,2;2855,9;2894,2;2833,3;2849,9;2679,3;3154;3067,4;2904,5
liściastej;tys. m3;.;.;.;.;.;.;.;.;.;616,5;596,1;669,7;701,9;655,6;663;768,7;892;879,9;899,4;823;831,5;947,4;993,9;981,9;933,2;969,5;1017;1053;1087,4;1227,9;1227,2;1147,4;1155,1;1105,2;1119,8;906,3;703,2;652,9;701,9;718,8;758,4;781,6;856,9;829,5;663,1;545,4;525,5;566,3;591,1;625,8;574,3;604,1;582,5;580,7
Produkcja płyt pilśniowych;tys. m2;143;190;175;247;375;375;3983;6251;9492;11 900;14 405;16 380;17 333;21 420;27 746;31 940;35 699;38 928;42 923;52 465;59 562;64 310;67 639;68 626;74 047;79 917;82 904;94 995;98 680;107 750;117 785;120 532;120 900;116 676;115 777;100 625;112 192;107 895;111 009;111 327;119 580;114 551;116 169;111 637;92 797;89 046;95 641;99 640;110 153;104 433;104 631;108 011;104 149;109 893
Produkcja płyt pilśniowych;tys. t;0,6;0,8;0,7;1;1,5;1,5;15,2;25,8;36,2;44,3;55,1;61,1;64,5;79,9;104;120;129;138;156;192;217;234;247;251;270,5;297,2;306;341,2;356,1;393,2;417,3;427;426;403,7;397,6;344,8;386,3;370,9;379,3;377,6;404,1;388,2;394,2;373,6;308,8;295,2;313,2;324,3;351,8;333;329,3;340,5;321,3;414,8
Produkcja płyt wiórowych;tys. m3;—;—;—;—;—;—;—;—;—;—;—;—;—;—;29,2;48,4;67,8;82,7;106;120;147;165;181;199;219,4;239,5;274,2;300,4;350,4;487,6;552,7;738,3;933,4;860,7;941,3;904,6;943,6;1070,6;1120;1170,7;1218,9;1077,4;1188,6;1131,5;717,5;940,9;1007,7;1128,6;1335,8;1537,6;1747,1;2072,2;2451,5;2599,1
Produkcja płyt stolarskich i pustakowych;tys. m3;.;.;.;16,7;24,6;33,5;74,6;61,6;76,9;80,6;85,6;94,8;105;103;85,4;87,1;87,6;89,7;87,4;83,1;75,1;85,4;88,6;95,9;106;108,2;113;124,4;125,8;129,6;137,2;134,2;112,4;97;90,2;76,3;67,8;62,9;62,9;58;52,9;48,1;46,9;41,1;15,2;19,3;25,4;32,1;38,3;50,4;61,3;94,5;65,8;86,6
Produkcja sklejek;tys. m3;.;.;.;53;44,8;50,2;55,2;65;72;74,4;76;80;80;77;72,7;72,6;77,2;78,6;80,4;82,6;80,8;83;85,9;88,5;99,2;96,7;91,3;99,1;99,9;128,3;131,8;132,4;130,6;128,4;131,3;116,1;104,2;108,3;111,3;111,8;115,6;114,2;117,6;112,3;96,5;95,9;106,8;101,4;113,2;113,9;111,9;131,7;133,7;136,6
Produkcja oklein;tys. m2;.;.;.;5200;5200;6900;9300;12 300,0;15 000,0;16 772,0;17 600,0;19 100,0;20 500,0;24 300,0;18 300,0;18 500,0;20 900,0;23 800,0;24 500,0;27 300,0;29 500,0;31 100,0;33 700,0;36 800,0;44 459,6;47 354,0;52 656,0;58 386,0;65 233,0;64 309,0;69 665,0;63 742,0;56 163,0;568 313,0;55 786,0;39 059,0;38 290,0;42 697,0;476 957,0;44 783,0;38 631,0;38 558,0;39 522,0;32 662,0;18 778,0;19 704,0;13 950,0;15 173,0;17 058,0;16 709,0;19 128,0;21 286,0;24 843,0;27 807,0
Produkcja stolarki budowlanej otworowej;tys. m2;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;10 308,0;10 994,0;11 298,0;10 985,0;10 806,0;10 689,0;9437;8613;7898;9276,7;9521,4;9005,2;8721,4;9013,3;8250,3;5259,4;4432,8;3852,3;4723,4;5473,4;6545,6;6900,1;8956,1;9427,1;10 166,6
Produkcja mebli w kompletach;tys. kpl.;5,4;9,4;12,7;23,3;30,7;47,1;94,3;140,4;177,5;210,1;254;279;302;292;315;326;328;300;342;390;406;428;449;439;467,8;495,1;557,6;639,5;694,3;797,7;838,8;966,5;1005,6;1020,8;1004,1;907,1;814,6;875;895,5;847,3;837,6;779,4;765,9;629,1;393,8;423,6;681,1;850,2;1115,3;1468,1;1955,3;2329;2447,9;2574,2
Produkcja mebli giętych;tys. szt.;460;577;683;987;1274;1468;1695;1875;2211;2083;2194;2191;2153;2324;2490;2858;3106;3200;3421;3558;3514;3276;2776;2339;2107;2004;1786;1798;1724;1628;1424;1206;1121;1117;966;733;714;620;709;715;767;756;934;690;698;664;760;752;898;991;1041;1125;1402;1369
Produkcja zapałek;tys. sk;137;170;224;250;268;286;296;332;294;319;330;342;366;376;371;340;370;386;396;377;368;383;387;402;412;416;416;425;471;480;490;546;473;504;498;478;474;456;446;444;453;441;424;413;293;264;161;133;194;213;198;210;189;182
Produkcja ścieru;tys. t;61,4;89,2;110,8;112,7;122,5;141,5;145,6;145,9;152,7;156;160,1;156,5;155,5;159,4;163,4;163,6;167,9;167,4;168,7;164,4;158,3;162,9;159,9;158,7;162,8;160,8;155;152,2;155,1;152,9;155;158;147,6;143,2;144,8;122,9;125,8;125,2;124,5;117,5;104,7;115,7;107,6;105;81,3;84,2;83,7;77,3;98,3;112,2;100,7;99,1;113,2;125,9
