﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja odlewów żeliwnych (półfabrykatów);tys. t;101;153;212;291;342;403;465;552;647;691,7;781,7;870,1;894,4;895,3;946,7;992,4;1064,4;1156,1;1225,2;1284,2;1335,9;1393,6;1473,4;1552,1;1643,4;1741,5;1820,5;1897,4;1969,5;2021,5;2107,5;2149,3;2129,3;2018,1;1945,8;1632,1;1476,8;1474,4;1427,1;1448,7;1456,7;1434,2;1422,7;1236,9;887,8;603,2;549,6;583,2;629,8;659,9;594,9;589,6;568,9;481,9
Produkcja odlewów staliwnych (półfabrykatów);tys. t;19,6;27,4;35,9;45,4;68,6;79,3;93,1;108;121;133,9;144,9;154,2;158,7;160,3;172;193,5;206,8;221,6;233;240,8;239,3;245,4;254;265,9;280,4;294,5;314;328,7;341,8;352;361,4;368,8;374,1;364,6;354,7;290,7;265,9;267,4;257,5;274,5;284,4;284,8;281,4;264,2;178,6;100,4;69;68,5;72,5;77,6;77,2;73,7;64;48,9
Produkcja łożysk tocznych;tys. szt.;—;—;—;0;452;860;1193;2090;2611;3283;4628;5424;6890;8926;11 983;16 527;19 756;23 888;28 659;34 128;37 985;39 467;42 231;45 397;51 446;56 951;60 934;74 854;84 844;95 178;101 433;106 498;110 273;130 281;124 793;110 026;105 424;103 895;95 118;96 295;104 246;113 941;112 619;112 388;96 041;52 589;49 945;57 762;72 270;86 334;85 925;81 976;79 124;77 922
Produkcja narzędzi gospodarczych i sprzętu podwórzowego, ogrodniczego i sadowniczego;t;.;.;.;.;.;.;5798;6257;8601;8479;7138;6909;7704;7856;9460;10 677;10 495;10 827;12 314;11 872;11 065;13 441;13 217;14 486;15 819;14 955;14 490;15 657;16 005;18 272;18 791;19 929;19 724;19 492;17 721;16 680;14 415;15 794;14 544;14 927;14 432;15 177;15 776;12 712;6033;5473;4776;5180;7362;6200;4069;9012;6591;7956
Produkcja gwoździ (bez podkowiaków);tys. t;23,3;31,6;34,8;33,6;33,1;37,7;45,4;50,2;56,2;59,3;58,9;59,7;62,5;61,8;60,8;54,2;54,8;50,5;57,2;65,9;76,2;84,6;86,4;81,9;85,3;89,9;93,3;96;116,2;116,6;108,9;109,1;108,9;106,7;103;97,9;98,8;96,3;87,6;80,2;73,4;66,6;67,2;48,2;32,9;41;37,8;42,1;42,3;47,2;45,2;55;77;82
Produkcja łańcuchów technicznych i gospodarskich;tys. t;1,7;2,6;3,3;3,6;5,5;6,6;7,7;10,5;11,3;14,4;15,7;19,7;21,4;20,2;25,1;26,9;34,2;40,8;43,2;42,3;48,9;44;46,7;49,9;53,4;61,2;54,7;54;51,3;52,3;53,7;58,8;60,3;57,4;53,3;51,3;50,6;56,4;59,8;57,4;54,5;49,1;47,4;40,3;27,1;24;21,8;19,9;22,4;25,2;19,3;17,8;16,4;17,2
Produkcja śrub i elementów złącznych;tys. t;.;.;.;.;24,8;.;.;.;.;.;.;.;.;.;67,8;68;73;74;76;86,5;93;100;105;100;104,5;107,7;108,9;122;135,4;143,6;143,1;145;144,4;145,6;148,2;124,8;113,8;121;125,1;124,5;129,9;121,1;136,2;109,8;67,8;53,6;59,8;60,5;68,4;81,9;69,8;78,6;90,4;67,6
Produkcja naczyń kuchennych i gospodarczych emaliowanych z blachy stalowej;tys. t;5,6;7,4;8,5;9,8;10,1;11,7;11,6;10,8;13,9;15,9;15,9;16,1;17,5;18,9;20,2;20,6;19,7;18,2;22;24,4;27,4;27,6;27,1;27,9;27,1;27,3;27,7;30,8;30,7;27,9;27,9;28,2;30,7;31,7;32,2;23,5;15,7;18,5;19,3;20,8;22;27,2;24,2;20,1;14,5;12,4;10,4;9;10,4;14,6;10,5;9,4;8,5;6,3
Produkcja naczyń i wiader ocynkowanych z blachy stalowej;tys. t;.;.;.;7,8;10,7;11,9;12,6;10,7;16,6;16,5;13,1;14,3;16,2;18,1;18,8;19,4;19,1;19,8;19,5;22;24,4;24,6;19,4;21,3;21,6;22,9;22,7;25,3;23,2;21;18,1;16;16;14,6;16;13,6;12,5;12,6;14,1;13,3;13,4;11,1;11,8;8,7;3,9;2,6;3,1;1,5;2,6;2,6;4,5;3,8;3,8;3,4
Produkcja kuchni gazowych z piekarnikiem;tys. szt.;—;—;—;—;—;—;—;—;—;—;1,9;32,3;18,2;25,4;35,1;76,8;108,4;170,2;201,9;245,7;273,5;318,8;374,7;396,1;461,2;517,7;596,5;680,9;721;722;809;838,3;950,2;927,3;857,8;643,3;638;675,5;687,1;758,1;782,1;758,8;757,1;647,1;506,6;364;344,8;322,4;270,8;204,3;220,1;219,4;172,4;179,5
