﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja przędzy bawełnianej i bawełnopodobnej;t;46 500;59 100;82 000;90 700;92 100;95 300;95 100;104 000;109 000;115 281;115 818;123 632;134 592;146 324;153 209;164 550;163 434;160 346;179 076;187 195;192 771;193 659;194 008;198 197;207 781;214 100;211 857;214 787;214 517;212 313;218 251;219 002;224 923;214 074;217 281;195 527;173 214;176 720;178 586;183 943;194 562;198 005;205 889;195 547;126 707;73 154;84 383;94 343;102 790;96 226;95 946;95 011;82 198;67 267
Produkcja przędzy wełnianej i wełnopodobnej;t;22 200;23 800;33 200;38 600;41 900;45 800;44 400;50 200;50 100;52 031;53 049;54 679;56 465;58 590;58 475;60 309;62 436;59 704;63 880;65 513;69 226;75 111;77 732;81 567;84 380;87 728;87 354;88 761;97 278;102 660;105 981;106 495;107 533;107 192;106 702;88 183;74 801;81 302;83 347;84 168;82 517;79 909;83 742;77 219;55 041;37 428;33 832;35 791;36 928;34 422;35 547;32 513;27 068;18 162
Produkcja przędzy lniano-konopnej;t;7600;11 300;14 400;19 300;26 000;24 300;27 400;29 000;24 500;25 975;28 810;30 313;32 702;35 755;34 405;36 129;37 817;40 376;44 093;44 400;47 207;50 820;52 661;54 241;55 791;54 428;54 617;56 218;56 849;53 968;52 312;50 591;46 331;40 795;38 866;33 465;30 052;29 127;29 488;30 054;31 011;28 590;28 161;27 372;14 930;9549;9626;9438;12 844;8314;5050;5056;4966;3787
Produkcja przędzy jutowej;t;5200;8900;9000;4800;8800;13 000;11 900;12 300;17 900;17 698;20 208;21 960;22 380;23 321;22 322;21 652;23 460;24 223;24 583;24 400;24 141;24 846;24 572;25 259;24 612;23 758;23 405;24 317;23 980;25 739;25 457;24 181;22 243;20 520;20 386;17 916;15 984;15 114;14 063;14 448;14 159;14 442;14 677;13 267;10 260;8577;4883;3294;3989;3956;3027;2529;1234;296
Produkcja tkanin bawełnianych i bawełnopodobnych (bez surowych);km;203 000;254 000;346 000;400 000;432 000;462 000;465 000;492 000;518 000;558 000;554 000;568 000;597 000;635 000;665 000;708 000;692 000;695 000;760 000;811 391;844 670;823 000;834 731;845 000;880 645;903 776;901 330;867 741;884 525;927 592;948 040;951 126;935 010;904 902;902 923;805 160;692 042;743 784;811 760;830 956;820 748;749 446;783 432;760 167;427 504;286 216;238 541;229 294;255 776;205 190;236 029;229 423;206 686;179 034
Produkcja tkanin bawełnianych i bawełnopodobnych (bez surowych);tys. m2;.;.;.;.;.;.;.;.;.;489 732;492 239;500 730;536 775;574 288;604 000;646 477;632 514;639 455;703 458;753 552;795 413;778 318;792 803;810 675;847 330;874 115;880 714;864 440;899 910;953 066;979 125;987 355;979 335;958 916;960 153;860 052;741 472;796 573;868 275;887 308;877 963;801 235;838 553;811 227;474 243;331 962;289 725;284 209;321 236;262 845;295 393;302 917;274 929;231 101
Produkcja tkanin bawełnianych i bawełnopodobnych (bez surowych);t;37 100;46 400;57 300;62 400;66 600;69 700;65 900;63 800;69 900;75 748;79 656;82 599;88 560;94 148;97 900;103 015;100 777;103 690;111 695;118 208;125 919;123 871;129 203;132 162;139 822;142 980;142 071;143 455;152 066;158 066;159 454;161 171;158 491;152 438;152 266;137 248;114 940;125 069;135 864;139 071;138 800;124 690;133 945;129 134;71 037;44 766;40 527;41 279;42 507;39 549;43 483;41 478;40 599;35 507
Produkcja nici odzieżowych do szycia;t;700;3000;1900;2100;2500;2600;2700;2800;3200;3224;3649;3910;4012;4054;3912;4110;4359;4869;5305;5824;6161;6330;5791;6028;4219;5041;4829;5043;4567;4345;4537;4652;4595;4485;4344;3595;3095;3566;4053;4393;4580;4012;3520;3822;1998;1006;570;507;428;575;713;536;624;911
Produkcja tkanin wełnianych i wełnopodobnych (bez surowych);km;22 900;32 800;41 900;50 100;56 300;60 900;63 000;70 700;71 100;75 726;76 209;76 382;78 138;80 276;78 879;77 700;82 621;84 034;89 883;90 845;91 489;90 074;94 485;98 993;98 969;98 642;100 183;107 182;117 122;124 138;125 075;124 482;124 085;122 981;121 060;106 112;91 833;98 545;103 151;105 000;103 163;99 521;100 768;96 829;64 719;44 323;32 872;31 816;33 418;32 568;32 758;31 845;29 489;22 389
Produkcja tkanin wełnianych i wełnopodobnych (bez surowych);tys. m2;.;.;.;.;.;.;.;.;.;103 657;104 696;105 719;108 224;111 225;108 729;108 692;115 260;117 022;124 204;126 167;127 322;126 382;132 337;138 506;138 316;138 796;140 896;151 381;167 400;180 962;185 769;185 793;186 044;185 046;181 880;160 071;138 137;148 446;155 463;157 936;155 086;150 231;151 522;145 860;97 981;67 176;49 954;48 214;50 738;49 711;50 137;48 647;44 857;34 686
