﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja kamienia gipsowego;tys. t;.;.;.;.;.;.;.;.;.;330;354;453;435;447;401;468;548;585;703;875;826;876;924;961;1476;1668;1142;1298;1790;1749;1756;1574;1651;1409;1422;1125;1055;927;1167;973;1107;1127;1097;1133;755;688;752;728;944;866;880;900;863;926
Produkcja wapieni (na zbyt);tys. t;650;870;1077;1320;1621;1884;2086;2468;3139;3711;4036;4686;4962;5110;4783;5089;5674;6262;6396;6424;6896;7122;7483;7469;8544;9347;9840;10 280;8366;7629;7283;8881;9573;9442;9586;10 049;9602;11 532;12 393;11 863;13 306;12 536;13 263;12 788;8631;7624;7823;6829;7138;7828;7739;7781;8042;7985
Produkcja łupka chlorytowo-serycytowego;t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;195 987;142 340;187 184;179 607;192 911;196 143;159 024;170 007;154 399;106 554;142 172;204 648;104 392;109 507;110 331;103 718;101 020;100 518;97 131;67 337;41 420;35 568;43 905;38 632;29 324;28 153;28 749;30 692;21 844;26 721
Produkcja kredy (bez nawozowej);t;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;219 107;203 137;236 865;247 437;271 370;254 052;259 395;251 979;256 000;291 200;303 228;289 311;232 734;253 380;265 018;264 104;263 861;248 251;246 394;266 702;138 965;158 750;175 395;156 490;175 652;.;.;.;.;.
Produkcja piasku podsadzkowego;hm3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;47,9;45,9;44,6;41,9;39,9;41,2;36,8;33,7;32,4;31,3;28,1;22,4;27,3;27,2;27,5;25,1;22;22,9;21;18,9;15,7;14;12,8;13,3;12,4;12,6;11,6;9,4;9,1;7,6
Produkcja piasku szklarskiego;tys. t;.;.;.;.;.;.;.;.;.;217;.;.;.;.;361;429;477;423;438;458;499;495;644;873;938;816;844;972;2515;2405;1771;1814;1653;1697;1626;1039;560;890;942;954;1073;1051;854;1031;859;875;783;824;759;874;1111;1124;1375;1418
Produkcja piasku formierskiego;tys. t;.;.;.;.;.;.;.;.;.;389;.;.;.;.;630;668;724;739;816;918;972;1027;1122;1368;1675;1774;1904;1987;1806;2188;2226;2411;2610;2958;2424;2409;1952;2163;2080;2242;2465;2261;1849;2181;1194;757;744;669;507;521;1067;1035;979;905
Produkcja łupka kwarcytowego;t;.;.;.;.;.;.;.;.;.;39 490;.;.;.;.;50 392;49 977;49 678;57 891;57 619;66 128;60 488;59 496;60 467;60 453;58 633;64 289;58 217;57 186;61 116;60 676;70 510;73 002;65 384;73 459;62 529;61 956;48 496;52 945;48 413;47 759;48 838;46 621;46 684;32 923;26 640;18 145;13 295;11 544;11 365;8458;7024;6518;3100;—
Produkcja gliny ogniotrwałej;tys. t;.;.;.;.;.;.;.;.;.;532;565;696;740;783;839;933;906;858;1049;1099;1184;1283;1266;1234;1316;1350;1426;1343;1392;1309;1236;1307;1300;1257;1226;1242;1093;1124;1037;980;1076;1104;1032;856;523;443;362;316;319;275;248;199;175;140
Produkcja magnezytu surowego;t;.;.;.;.;.;.;.;.;.;19 631;16 940;17 088;13 950;16 522;21 652;27 112;34 123;26 586;24 771;24 601;21 142;15 105;17 753;22 744;38 706;22 044;35 739;22 174;23 830;27 107;26 295;25 372;23 746;20 010;19 610;11 282;17 047;16 147;20 640;19 200;20 876;22 297;23 867;24 133;23 343;8137;12 907;13 012;16 440;21 523;19 257;6403;5745;—
Produkcja klinkieru cementowego;tys. t;.;.;.;.;.;.;.;.;.;3407;.;.;.;.;4980;5541;5513;5729;6576;7190;8195;8354;8507;8667;9041;9365;10 084;11 561;12 371;13 780;14 865;16 785;17 811;15 510;15 009;11 034;11 333;12 729;13 080;11 652;11 687;12 818;13 387;13 738;10 309;10 235;10 469;9730;12 558;12 602;11 756;12 739;11 974;11 678
Produkcja cementu;tys. t;1399;1522;1824;2344;2514;2692;2671;3294;3403;3813;4035;4496;5058;5317;6599;7364;7544;7674;8761;9573;10 040;11 138;11 593;11 830;12 180;13 082;13 986;15 548;16 765;18 544;19 803;21 301;21 651;19 180;18 428;14 224;16 035;16 163;16 649;14 990;15 831;16 090;16 984;17 125;12 518;12 012;11 908;12 200;13 834;13 914;13 959;15 003;14 970;15 555
portlandzkiego;tys. t;.;.;.;.;.;.;.;.;.;3454;3211;3398;3658;3733;3694;4042;4084;4301;4811;4937;5894;6443;6342;6135;7236;7846;8482;10 091;11 543;12 507;12 490;14 245;15 744;14 877;12 818;10 535;12 364;12 452;13 001;11 604;11 986;12 167;13 236;13 395;10 021;10 142;10 105;10 730;12 383;12 589;12 668;13 824;13 934;14 310
pozostałego;tys. t;.;.;.;.;.;.;.;.;.;359;824;1098;1400;1946;2905;3322;3460;3373;3950;4636;4146;4695;5251;5695;4944;5236;5504;5457;5222;6037;7313;7056;5907;4303;5610;3689;3671;3711;3648;3386;3845;3923;3748;3730;2497;1870;1803;1470;1451;1325;1291;1179;1036;1245
Produkcja wapna;tys. t;577;547;753;868;932;1018;1070;1168;1271;1538;1565;1986;2091;2045;2166;2181;2384;2419;2656;2874;3101;3286;3295;3353;3599;3824;4202;4451;4595;4791;5095;5103;5040;4782;4830;4179;4061;4121;4251;4124;4108;4265;4430;4421;3200;2413;2526;2584;2516;2526;2461;2516;2406;2299
Produkcja nawozów wapniowych i wapniowo-magnezowych;tys. t;.;.;.;.;249;.;.;.;.;.;.;.;.;.;475;562;797;879;1050;1341;1652;2011;1960;1899;2130;2291;2348;3232;3363;3440;3022;3535;4095;3310;3565;2868;3280;3826;3952;4065;4731;4608;5395;6118;4680;3769;3336;3091;3251;3825;4988;5384;3808;2342
Produkcja spoiw gipsowych;tys. t;10;15;14;17;29;52;53;46;49;67;67;80;72;94;104;96;116;117;156;158;156;153;167;210;265;261;314;297;322;326;326;341;329;319;312;290;224;217;250;236;264;261;279;265;192;247;222;290;357;407;450;504;511;459
Produkcja elementów ściennych w przeliczeniu na cegłę paloną pełną;mln szt.;.;.;.;.;1584;1868;2009;2601;2902;3071;3241;3646;4129;4620;4842;4749;4596;4777;5310;5899;6443;6962;7256;7575;8085;8533;9354;10 040;10 656;11 516;12 077;12 432;12 174;11 625;11 206;9332;9533;10 305;10 566;9873;9220;8967;9325;10 776;7438;5611;5227;4985;5590;5439;5554;6164;6512;7695
cegły;mln cegieł;506;687;962;1237;1407;1659;1784;2310;2577;2725;2759;2909;2974;3441;3463;3549;3174;3110;3404;3595;3647;3747;3768;3721;3724;3902;4003;4050;3939;3657;3368;3017;2759;2276;2058;1770;1889;2036;1931;1800;1470;1447;1452;1563;1234;1051;1083;1119;1121;1131;1045;1156;1031;918
Produkcja elementów dachowych ceramicznych;tys. szt.;31 500;65 600;62 700;63 400;72 600;88 700;92 100;85 200;106 600;127 300;114 800;122 900;117 700;110 400;100 400;85 800;85 200;84 900;99 900;99 100;103 700;99 000;87 800;82 900;82 931;79 654;61 630;44 922;35 273;32 895;31 363;29 486;28 150;24 099;24 562;22 875;19 326;20 155;21 128;19 278;17 351;16 463;17 681;19 648;20 887;27 286;31 888;31 327;51 847;54 991;60 637;67 444;71 317;74 249
Produkcja pustaków stropowych ceramicznych;tys. szt.;.;.;.;23 000;29 600;33 100;19 100;28 500;30 400;24 105;21 167;23 813;18 470;18 332;17 915;18 861;18 038;16 091;14 756;16 953;17 957;15 867;16 370;15 622;15 776;17 704;22 402;19 155;18 012;15 144;14 947;15 554;16 326;15 059;13 996;12 840;10 310;11 898;10 941;10 349;14 051;14 295;15 966;16 408;13 437;12 341;12 254;11 255;11 742;19 374;13 728;16 199;15 161;15 493
Produkcja kafli i okładziny ceramicznej;tys. szt.;.;.;.;.;.;.;.;.;36 500;38 200;43 700;40 200;43 500;46 200;38 700;34 900;37 300;37 400;39 500;41 500;43 900;41 400;38 600;34 800;35 700;38 400;40 800;42 500;35 200;24 500;22 800;20 853;19 778;17 358;16 224;17 346;15 903;19 005;20 369;19 405;15 971;16 994;18 826;18 752;16 833;28 385;33 879;50 369;43 197;55 976;68 779;94 168;142 510;165 190
Produkcja rurek drenarskich ceramicznych;tys. szt.;.;.;.;.;1900;.;.;.;14 300;20 200;18 000;15 900;19 500;51 100;75 000;112 000;156 000;164 000;190 000;220 000;238 000;261 000;276 000;291 000;275 253;255 260;268 073;262 634;256 938;287 467;258 448;179 729;83 272;58 503;77 351;75 995;66 739;75 709;89 399;83 276;75 775;90 179;93 828;78 552;49 842;21 330;9013;8683;8923;9282;8641;7503;4341;3164
Produkcja wyrobów z betonu;tys. t;.;.;.;.;.;.;.;.;1360;1566;4030;5862;6877;8567;9714;10 438;11 815;11 778;11 917;14 478;16 950;19 789;22 279;24 382;24 440;26 453;28 377;30 588;34 204;37 501;38 077;41 658;40 224;40 693;33 919;25 407;27 212;29 525;27 926;28 241;26 837;26 738;28 323;23 969;14 948;13 149;10 782;9908;10 408;9197;9737;11 726;12 947;13 676
Produkcja wyrobów z betonu;hm3;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;13,1;14,1;15,7;16,5;18,4;19,9;20,3;21,1;21,3;21,3;18,5;14,2;14,5;15,9;16,8;15,4;14,6;14,4;15,2;13,3;8,7;7,6;6,9;6,5;7,1;6,4;6,9;8;8,7;9,9
Produkcja papy;tys. m2;.;33 900;32 200;39 200;45 200;54 300;62 700;69 900;76 400;84 400;96 700;97 800;88 600;92 100;98 900;104 000;112 000;115 000;124 000;129 000;133 000;140 000;152 000;160 000;169 513;174 311;181 759;194 691;215 656;227 849;230 531;229 445;202 804;167 619;175 246;150 510;153 144;171 165;186 015;188 393;185 981;190 184;191 766;151 085;85 144;100 580;103 197;108 392;128 323;113 978;102 109;108 673;93 373;98 008
Produkcja płyt azbestowo-cementowych;tys. m2;.;.;.;.;.;.;.;.;.;5398;6794;7220;6879;8351;9103;8548;9818;11 163;13 453;17 672;21 450;23 372;25 125;31 063;36 894;38 683;41 338;47 948;54 875;58 461;58 945;56 545;53 115;51 590;51 502;41 684;41 562;45 640;43 122;41 317;40 520;42 503;44 515;43 379;38 591;22 758;25 124;21 799;24 581;25 010;20 462;20 526;11 836;—
Produkcja wyrobów krzemionkowych;t;15 000;40 500;50 700;57 600;63 000;63 000;63 400;84 400;108 794;89 143;81 309;96 653;90 546;93 463;102 216;101 542;69 834;73 883;88 333;105 047;111 411;98 182;94 450;96 586;104 252;120 519;122 547;123 521;121 056;118 339;119 186;119 322;117 905;101 204;102 025;79 046;77 228;79 289;77 693;81 926;86 158;87 587;60 927;42 933;43 109;24 640;16 327;23 979;18 780;22 557;15 693;11 685;9031;7279
Produkcja wyrobów szamotowych (bez izolacyjnych, kwasoodpornych i zduńskich);t;74 000;114 000;148 000;219 000;237 000;287 000;301 000;351 000;417 000;435 000;411 000;436 000;481 000;524 000;577 000;567 400;570 300;571 800;628 900;686 300;727 500;696 700;704 300;666 700;649 469;677 522;681 743;701 150;699 463;709 355;675 462;666 088;650 131;585 637;614 889;534 949;504 297;501 961;542 146;497 681;516 593;512 419;497 677;396 417;270 444;189 271;159 416;158 840;150 886;151 901;122 999;115 000;73 478;59 647
Produkcja szkła budowlanego płaskiego;tys. t;40;60;76;77;85;88;101;104;107;110;121;124;119;130;140;160;178;189;196;216;253;283;290;301;327;342;375;390;412;440;451;493;497;508;459;400;381;427;429;401;380;422;430;452;345;323;308;295;266;327;322;426;523;479
Produkcja szkła budowlanego płaskiego ciągnionego w przeliczeniu na 2 mm;tys. m2;8100;10 300;10 518;10 662;12 296;12 775;14 873;15 659;15 833;16 066;18 478;18 590;17 786;20 444;22 467;24 843;26 196;26 590;29 678;32 643;37 385;41 460;42 844;44 836;48 527;48 880;54 893;56 032;58 950;63 948;65 919;72 428;70 546;71 070;69 547;60 106;55 707;63 000;69 706;63 593;59 006;66 625;68 553;72 878;57 191;53 412;50 469;46 326;42 923;37 829;24 258;23 176;21 085;17 006
