﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999
Produkcja mięsa i tłuszczów (ubój w działalności produkcyjnej w wadze poubojowej ciepłej);tys. t;.;.;.;466,7;652,5;548,3;542;644;630,6;640,9;779;889,9;1050;992,5;1003,7;1131,1;1168;1082,1;1094,8;1247,9;1336;1361;1349,3;1420,5;1375,9;1474,2;1769;2012,2;2317,9;2328;2211;2180;2452,4;2559,5;2459,5;1855,5;1855,5;1721,5;1753,6;1973,3;2258,8;2233;2248,4;1994,9;1627,7;1394,1;1254,9;1093,1;1090,5;1144,8;1236,9;1347,7;1486,2;1554
wołowych;tys. t;.;.;.;.;109;96;98,2;96,1;86,4;88,9;132,1;129,2;163,3;187,7;184,5;207,8;254;303,6;325,3;283,4;296,1;349,8;380,3;405,1;376,5;370,8;348,7;378,1;519,8;576,9;682;637,6;624;661,8;624;442,5;582,9;550,7;597,1;642,4;673,3;657,5;612,8;503,3;444,8;336;219;179,7;180,2;136,4;160;201;211,9;177,4
cielęcych;tys. t;.;.;.;.;35,7;35,2;46,9;45,2;41,5;44,2;41,2;45,3;60,8;57,6;58,4;49,2;43,6;37,9;34,1;30,9;27;26,5;30,3;38,6;32,3;33,2;20,3;21,5;25,6;18;12,8;6,4;12,5;9,1;5,7;7,7;28,1;18,3;13,3;3,8;1,9;0,9;0,6;0,5;1,4;1,5;1,7;1,3;1,1;0,7;1,1;1,5;2,4;2,8
wieprzowych;tys. t;.;.;.;341;487;397;369;461;465;479;581;692;799,3;709,4;715,8;829,2;834,5;708;690,9;884;953;921,4;868,6;899,4;878,2;970,6;1279,4;1471,8;1610,2;1543,5;1287,9;1258,6;1503,1;1527,2;1445,8;1017,8;1108,3;1005,8;929,9;1086,5;1314,1;1306,7;1359,1;1228,4;962,7;843,8;823,4;718,2;653,9;727,5;727;720;785,2;824,2
drobiowych;tys. t;.;.;.;9;16,5;8,9;15,6;16,7;13,8;12,1;12,7;13,5;16,8;20,2;23;25;19;17,6;26,6;33,1;42,9;42,2;47,2;52,5;62,9;71,3;90,1;113,2;133,7;162,5;200,9;245;279,2;320,4;344;355,8;107,6;110,9;176,1;196,6;228,6;231,5;245,6;239,9;201,2;196,9;198,7;186,6;247,3;276;341,7;418,1;477,7;539
pozostałych;tys. t;.;.;.;1,7;4,3;11,2;12,3;25;23,9;16,7;12;9,9;9,8;17,6;22;19,9;16,9;15;17,9;16,5;17;21,1;22,9;24,9;26;28,3;30,5;27,6;28,6;27,1;27,4;32,4;33,6;41;40;31,7;28,6;35,8;37,2;44;40,9;36,4;30,3;22,8;17,6;15,9;12,1;7,3;8;4,2;7,1;7,1;9;10,6
Produkcja tłuszczów zwierzęcych topionych jadalnych;t;200;600;2500;8300;29 900;32 200;29 500;34 600;40 800;36 360;46 886;66 338;75 541;71 676;72 400;83 100;87 800;69 500;69 200;89 800;107 000;99 800;89 400;87 700;79 865;94 048;130 285;144 560;154 842;158 107;113 608;118 258;120 822;133 535;116 878;66 693;91 746;96 103;91 939;106 024;124 259;129 794;132 213;111 957;108 569;110 573;104 576;75 543;59 050;66 708;56 660;53 457;54 824;47 985
smalcu wieprzowego;t;.;.;.;8300;29 900;31 600;28 500;32 900;39 500;35 330;45 351;64 944;73 879;69 326;69 300;80 000;84 900;65 900;65 300;86 100;100 600;95 800;85 100;83 500;74 221;88 267;124 397;136 849;145 419;148 128;100 332;102 072;107 767;119 003;102 256;56 992;75 192;75 910;66 136;78 567;97 764;100 646;104 030;89 327;82 374;89 735;87 115;62 706;47 401;53 051;43 181;39 874;40 556;35 845
pozostałych;t;.;.;.;.;.;600;1000;1700;1300;1030;1535;1394;1662;2350;3100;3100;2900;3600;3900;3700;6400;4000;4300;4200;5644;5781;5888;7711;9423;9979;13 276;16 186;13 055;14 532;14 622;9701;16 554;20 193;25 803;27 457;26 495;29 148;28 183;22 630;26 195;20 838;17 461;12 837;11 649;13 657;13 479;13 583;14 268;12 140
Produkcja bekonów;t;.;27 800;10 200;23 500;39 600;38 800;41 300;58 400;57 000;52 824;51 516;53 152;51 122;52 128;50 700;52 800;55 200;55 100;55 400;56 400;57 000;59 000;59 000;54 000;52 999;48 251;43 941;36 898;23 248;23 005;20 702;18 219;19 770;19 717;17 624;7521;6319;4737;4056;5324;5578;4679;5044;5610;4242;3280;1828;1744;1475;3863;3058;2834;2924;4856
