﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Powierzchnia użytków rolnych (stan w końcu roku);ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;19 550 204;—;—;—;—;19 525 263;—;—;—;—;19 570 025;19 531 534;19 483 111;19 447 939;19 382 844;19 349 401;19 313 265;19 264 906;19 200 481;19 153 103;19 101 835;19 066 036;19 023 481;18 985 243;18 944 977;18 914 383;18 884 598;18 857 244;18 834 685;18 804 701;18 783 841;18 759 564;18 740 884;18 712 799;18 689 685;18 663 821;18 632 581;18 607 762;.
gospodarstwa państwowe;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;2 652 680;—;—;—;—;2 833 141;—;—;—;—;3 020 200;3 062 955;3 108 312;3 158 842;3 240 162;3 322 951;3 415 103;3 476 094;3 561 433;3 648 615;3 697 559;3 576 609;3 531 345;3 517 673;3 511 582;3 505 966;3 500 306;3 499 107;3 496 279;3 482 134;3 459 475;3 385 780;2 955 746;3 882 447;3 801 377;3 690 046;3 500 137;3 369 651;.
spółdzielnie produkcji rolniczej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;946 016;846 002;804 100;777 203;755 464;746 409;742 042;743 273;745 764;738 241;735 900;695 315;656 728;609 826;536 988;476 082;429 269;394 111;.
spółdzielnie produkcyjne;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;206 308;—;—;—;—;187 353;—;—;—;—;237 690;249 467;265 534;275 717;295 808;337 002;413 151;475 532;558 364;647 968;724 339;706 782;691 987;677 699;668 656;667 494;669 136;674 460;678 654;673 878;662 318;637 509;.;.;.;.;.;.;.
kółka rolnicze;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;39 965;59 873;85 681;115 021;162 215;256 092;355 108;392 886;351 099;295 096;221 677;139 220;112 113;99 504;86 808;78 915;72 906;68 813;67 110;64 363;73 582;57 806;.;.;.;.;.;.;.
państwowe i społeczne niestanowiące gospodarstw rolnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1 542 659;—;—;—;—;1 621 799;—;—;—;—;1 582 868;1 541 392;1 437 996;1 340 778;1 317 634;1 384 542;1 392 298;1 360 532;1 308 720;1 263 997;1 222 759;1 310 504;1 178 836;1 138 856;1 128 037;1 026 519;1 052 361;1 083 602;1 112 867;1 102 913;1 091 708;1 132 831;1 551 482;568 929;619 058;651 449;704 004;732 158;.
gospodarstwa indywidualne;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;15 148 557;—;—;—;—;14 882 970;—;—;—;—;14 689 302;14 617 847;14 585 588;14 557 581;14 367 025;14 048 814;13 737 605;13 559 862;13 420 865;13 297 427;13 235 501;13 332 921;13 509 200;13 551 511;13 549 894;13 635 489;13 589 889;13 531 262;13 479 775;13 481 413;13 496 758;13 545 638;13 576 928;13 651 597;13 732 262;13 846 244;13 999 171;14 111 842;.
Powierzchnia użytków rolnych (stan w czerwcu);ha;20 440 185;20 440 185;20 440 185;20 440 185;20 440 185;20 415 353;20 415 353;20 415 353;20 402 753;20 402 753;20 402 753;20 402 753;20 402 753;20 402 753;20 402 753;20 321 423;20 262 451;20 183 716;20 118 955;19 636 886;19 622 049;19 603 839;19 579 674;19 556 665;19 543 245;19 507 788;19 371 067;19 325 880;19 256 961;19 208 736;19 151 078;19 111 438;19 059 141;18 990 603;18 946 929;18 909 785;18 891 532;18 878 650;18 875 673;18 843 685;18 803 856;18 791 257;18 741 857;18 726 961;18 719 773;18 673 719;18 663 538;18 641 652;18 647 623;18 622 227;18 474 127;18 457 049;18 442 702
gospodarstwa państwowe;ha;1 392 885;—;—;—;1 972 223;2 433 598;2 601 094;2 622 739;2 656 813;2 759 905;2 810 691;2 740 001;2 612 188;2 476 089;2 424 847;2 445 115;2 501 031;2 554 613;2 609 393;2 660 352;2 678 265;2 699 013;2 733 609;2 841 854;3 006 167;3 034 756;3 123 943;3 160 814;3 203 183;3 291 736;3 383 163;3 461 025;3 527 934;3 621 324;3 698 110;3 677 386;3 584 309;3 547 880;3 542 910;3 531 222;3 526 062;3 519 576;3 520 873;3 507 059;3 490 597;3 476 950;3 304 300;2 585 572;1 868 257;1 368 531;1 242 190;1 074 457;1 057 889
spółdzielnie produkcji rolniczej;ha;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 028 093;949 119;858 735;818 811;790 237;769 563;763 157;760 331;760 379;761 099;749 905;724 533;677 226;623 410;576 320;535 025;501 532;464 155;432 096
