﻿Wskaźnik;Jednostka;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994
Końcowa produkcja rolnicza - grupowanie metodą rodzaju działalności (ceny bieżące);tys. zł;.;.;.;.;7191,1;8480,4;9564,2;10 226,9;10 443,2;11 341,2;13 185,4;12 210,3;13 285,7;14 065,4;15 712,3;16 295,9;16 882,4;18 318,8;16 941,0;17 793,0;21 056,3;24 373,2;27 128,9;28 486,7;29 451,9;35 492,3;40 938,7;46 322,5;47 132,1;46 832,9;81 782,5;116 671,3;136 215,4;160 480,6;178 693,2;212 800,1;246 775,3;478 954,8;1 688 611,9;6 405 999,5;8 084 305,0;11 344 848,7;15 834 140,3;.
państwowych gospodarstw rolnych;tys. zł;.;.;.;.;618,3;773,7;908,5;973,6;1027,2;1166,7;1438,8;1457,8;1492,3;1676,1;2015,5;2151,4;2405,3;2566,7;2508,8;2708,6;3295,7;3637,3;4256,4;4794,6;5428,4;7037,4;8108,7;9102,9;8871,7;9361,7;12 905,2;20 485,3;24 863,8;30 313,9;33 508,1;39 806,4;46 338,8;88 465,1;296 283,5;1 198 128,8;1 300 008,4;1 375 213,4;1 287 767,7;.
spółdzielni produkcyjnych;tys. zł;.;.;.;.;600,8;.;112,2;100,5;113,2;134,3;128,7;116,7;117,6;135,4;172,6;191,9;221,1;242,4;251,1;290,4;356,2;435,1;539,1;649,1;806,2;1090;1468;1859;2023,2;2233;3438,4;4130,8;5054,1;6646,1;7270,5;8890,8;10 720,4;19 997,0;66 993,8;311 470,0;393 489,1;457 089,3;592 236,5;.
kółek rolniczych;tys. zł;—;—;—;—;—;—;—;—;—;—;27,1;36,5;45,6;55,2;46;35,4;36,2;34;29,3;30,9;46,5;67;107,8;179;332;609,4;747,7;720,8;506,1;376,7;245,6;430,8;406,2;498,2;475,5;533,7;573,6;968,2;2957,5;12 249,8;.;.;.;.
indywidualnych gospodarstw rolnych;tys. zł;.;.;.;.;5972,1;7706,7;8543,5;9152,8;9302,8;10 040,2;11 590,9;10 599,3;11 630,3;12 198,7;13 478,1;13 917,2;14 219,7;15 475,8;14 151,9;14 763,0;17 357,8;20 233,8;22 225,6;22 864,1;22 885,2;26 755,5;30 614,3;34 639,9;35 731,1;34 861,4;65 193,2;91 624,4;105 891,3;123 022,4;137 439,1;163 569,2;189 142,5;369 524,5;1 322 377,1;4 884 150,9;6 386 193,2;9 476 447,0;13 590 449,0;.
produkcja roślinna;tys. zł;.;.;.;.;2720,8;2969,9;3218,4;3583,3;3653;4051,6;5032,5;3888,7;5474,6;5532,1;6492,4;6325,9;6866,7;7628,5;6210,4;6874,3;7625,3;8461,9;9235,1;9130,6;9507,3;14 271,4;12 609,2;16 158,6;14 792,1;14 419,0;29 870,4;39 871,5;51 347,1;62 797,4;64 913,9;79 690,9;93 672,5;170 841,0;721 149,3;2 177 457,9;2 479 087,9;3 523 070,8;6 506 547,8;.
państwowych gospodarstw rolnych;tys. zł;.;.;.;.;280,9;292,5;323,9;393,8;469,1;499,9;594,6;605,6;672,5;749,8;943,8;991,7;1196,3;1248,6;1114,1;1214,7;1444,9;1403,3;1520;1602,3;1750,3;2921,4;2930,7;3384,4;2922,6;3085;4340,2;7190,5;9310,2;11 595,3;12 484,4;15 112,2;17 701,6;31 011,0;116 093,0;422 850,0;460 027,5;466 716,9;655 339,0;.
spółdzielni produkcyjnych;tys. zł;.;.;.;.;244,3;.;58,7;43,2;41,3;47,9;52,2;47,4;57;62,9;78,8;80,6;95,2;105,9;104,5;120,1;142,3;149,3;184,8;200,8;235,1;363,4;385,3;518,1;468,8;485,4;925,2;1346,4;1729,7;2185;2218,5;2583,6;2924;5240,5;21 022,3;74 444,3;72 652,7;76 570,2;177 576,7;.
kółek rolniczych;tys. zł;—;—;—;—;—;—;—;—;—;—;27,1;36,5;45,6;55,2;46;28,6;31,2;29,5;24;25;34,3;42,8;47,3;49,1;62,9;166,6;175,1;216;113,3;65,9;89,6;143,8;170,7;202,7;173;193,2;230,2;327,2;1210,5;4575,6;.;.;.;.
indywidualnych gospodarstw rolnych;tys. zł;.;.;.;.;2195,6;2677,4;2835,9;3146,3;3142,6;3503,7;4358,7;3199,1;4699,5;4664,1;5423,8;5225,1;5543,9;6244,4;4967,7;5514,6;6003,8;6866,5;7483;7278,4;7459,1;10 820,1;9118,1;12 040,2;11 287,3;10 782,7;24 515,5;31 190,8;40 136,5;48 814,4;50 038,0;61 801,9;72 816,7;134 262,3;582 823,5;1 675 588,0;1 944 750,6;2 971 193,9;5 554 371,0;.
produkcja zwierzęca;tys. zł;.;.;.;.;4470,3;5510,5;6345,8;6643,6;6790,2;7289,6;8152,9;8321,6;7811,1;8533,3;9219,9;9970;10 015,7;10 690,3;10 730,7;10 918,6;13 430,9;15 911,3;17 893,8;19 356,1;19 944,5;21 220,9;28 329,5;30 163,9;32 340,0;32 414,0;51 912,1;76 799,8;84 868,3;97 683,2;113 779,3;133 109,2;153 102,8;308 113,8;967 462,6;4 228 541,6;5 605 217,1;7 821 777,9;9 327 592,5;.
państwowych gospodarstw rolnych;tys. zł;.;.;.;.;337,3;481,2;584,6;579,8;558,1;666,8;844,2;852,2;819,8;926,3;1071,7;1159,7;1209;1318;1394,7;1493,9;1850,8;2233,9;2736,4;3192,3;3678,1;4116;5178;5718,5;5949,2;6276,7;8565,1;13 294,8;15 553,6;18 718,6;21 023,7;24 694,2;28 637,2;57 454,1;180 190,5;775 278,8;839 980,9;908 496,5;632 428,7;.
