﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Powierzchnia zasiewów (stan w czerwcu);ha;10 001 600;12 910 600;14 264 600;14 804 100;15 010 000;15 054 400;15 089 000;15 109 100;15 232 400;15 392 200;15 405 500;15 478 600;15 333 700;15 377 600;15 321 300;15 323 600;15 243 300;15 340 700;15 260 700;15 136 200;15 220 100;15 243 800;15 095 100;15 028 900;14 961 600;14 934 400;14 732 400;14 713 676;14 694 723;14 674 352;14 653 998;14 664 209;14 642 683;14 572 243;14 510 762;14 509 175;14 443 352;14 453 454;14 472 779;14 450 312;14 412 336;14 403 957;14 359 073;14 333 554;14 241 974;14 133 945;13 560 324;13 409 572;12 948 970;12 892 098;12 296 684;12 484 603;12 589 277
zbóż;ha;6 009 700;8 666 100;9 545 800;9 641 900;9 541 465;9 425 549;9 409 418;9 301 540;9 277 876;9 350 915;9 264 025;9 478 220;9 557 237;9 336 032;9 223 702;8 948 296;8 687 097;8 734 651;8 682 722;8 415 994;8 382 021;8 411 246;8 458 053;8 669 976;8 346 022;8 451 689;8 484 332;8 247 302;8 107 091;7 864 117;7 768 569;8 001 739;7 852 631;7 871 605;7 846 509;7 906 447;8 094 248;8 105 538;8 159 070;8 204 988;8 237 748;8 382 642;8 439 011;8 376 605;8 530 848;8 716 244;8 321 108;8 506 171;8 480 981;8 571 214;8 720 105;8 899 413;8 843 718
w gospodarstwach państwowych;ha;—;—;.;.;770 139;924 798;1 008 497;1 004 131;995 333;1 081 816;1 089 238;1 032 189;956 704;916 857;868 856;822 985;816 358;851 414;867 217;867 236;893 792;937 041;988 200;1 039 283;1 006 510;1 037 808;1 025 208;966 353;884 451;861 359;959 754;1 060 505;1 069 091;1 135 432;1 170 650;1 150 979;1 223 994;1 248 637;1 251 855;1 275 417;1 278 285;1 276 340;1 288 931;1 239 761;1 304 480;1 402 287;1 184 280;999 054;605 028;358 805;300 625;274 894;237 363
w spółdzielniach produkcyjnych;ha;.;.;.;.;82 586;332 809;343 070;641 372;782 537;853 839;875 160;110 789;96 784;100 426;109 468;101 037;87 411;84 652;81 822;80 264;80 662;83 168;88 014;95 922;95 970;103 902;107 512;107 085;104 819;108 925;131 853;170 610;197 230;247 021;289 801;326 183;326 420;319 504;318 653;320 329;321 755;333 319;342 005;334 411;356 976;374 587;335 090;332 515;313 065;286 684;297 352;282 742;252 898
w kółkach rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;13 582;21 749;28 649;35 658;36 116;38 811;40 803;40 613;37 847;41 071;50 699;55 924;57 457;62 077;89 574;131 008;173 619;172 715;142 643;112 369;81 551;55 350;49 804;46 387;41 544;37 815;36 274;34 090;32 073;33 056;33 333;12 572;11 221;3614;2952;.;.;.
w gospodarstwach indywidualnych;ha;.;.;.;.;8 688 740;8 167 942;8 057 851;7 656 037;7 500 006;7 415 260;7 299 627;8 335 242;8 503 749;8 318 749;8 245 378;8 010 692;7 761 579;7 769 936;7 698 025;7 432 378;7 368 756;7 350 234;7 341 226;7 496 924;7 202 471;7 259 280;7 295 688;7 116 407;7 055 744;6 804 259;6 545 954;6 597 005;6 413 595;6 346 509;6 273 689;6 347 734;6 488 484;6 487 593;6 542 175;6 567 698;6 599 893;6 736 709;6 773 985;6 770 360;6 836 336;6 899 161;6 775 217;7 022 871;7 275 178;7 537 544;7 618 389;7 802 060;7 838 240
podstawowych;ha;5 631 700;8 235 731;9 089 899;9 226 372;9 092 674;8 993 958;8 959 846;8 841 025;8 830 675;8 846 069;8 800 608;9 022 119;9 138 226;8 967 436;8 841 116;8 563 071;8 341 042;8 354 975;8 331 784;8 066 922;8 024 597;8 044 796;8 099 467;8 264 587;7 852 606;8 000 242;7 966 667;7 731 782;7 571 472;7 260 339;7 091 044;7 281 539;7 114 598;6 981 286;6 967 191;6 870 176;7 051 356;7 125 898;7 240 407;7 204 457;7 044 302;7 231 806;7 153 278;7 097 028;7 264 542;7 381 523;6 962 731;7 155 880;7 079 650;7 117 767;7 346 454;7 350 669;7 256 473
pszenicy;ha;700 400;1 111 573;1 383 760;1 444 972;1 479 887;1 523 654;1 487 845;1 498 385;1 558 748;1 431 434;1 464 097;1 440 967;1 474 093;1 434 889;1 360 766;1 401 365;1 392 901;1 541 447;1 625 464;1 617 336;1 657 177;1 723 182;1 843 917;1 964 899;1 985 159;2 060 445;2 047 664;1 961 679;2 021 923;1 842 099;1 832 193;1 833 867;1 852 302;1 549 071;1 608 623;1 417 734;1 456 271;1 537 317;1 706 480;1 884 536;2 025 005;2 132 600;2 178 661;2 195 450;2 280 653;2 437 393;2 405 097;2 476 870;2 407 047;2 406 786;2 480 428;2 555 092;2 631 319
w gospodarstwach państwowych;ha;—;—;83 800;111 800;163 091;192 131;225 701;212 683;226 002;230 544;231 459;209 452;197 833;198 018;191 919;201 800;224 314;250 588;268 388;282 337;298 758;324 477;364 410;395 231;383 764;391 354;349 357;313 521;284 953;241 850;272 900;282 267;309 284;230 596;261 598;219 970;246 667;298 586;350 278;395 782;421 020;443 385;456 407;463 184;479 264;540 411;522 084;449 580;260 353;162 167;141 361;130 045;125 165
w spółdzielniach produkcyjnych;ha;.;.;.;.;20 016;83 496;89 441;148 334;171 635;174 059;181 112;20 364;17 302;17 527;17 719;17 584;17 966;21 166;23 460;24 650;25 219;27 726;30 824;33 390;35 726;37 002;36 236;36 699;35 373;32 060;40 476;45 719;54 985;50 431;58 955;51 169;48 736;54 841;65 083;75 891;84 593;89 535;92 641;93 308;99 097;111 291;111 699;115 161;104 625;96 872;102 890;98 139;96 873
w kółkach rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1195;2453;5160;10 073;10 867;11 027;10 714;10 758;9473;10 806;11 998;12 236;9976;11 085;10 987;19 093;23 761;25 648;14 106;11 652;5084;2832;3347;3779;4630;5043;4984;5274;4914;4966;5881;2756;2752;995;855;.;.;.
w gospodarstwach indywidualnych;ha;.;.;.;.;1 296 780;1 248 027;1 172 703;1 137 368;1 161 111;1 026 831;1 051 526;1 211 151;1 258 958;1 219 344;1 151 128;1 180 786;1 148 168;1 264 533;1 323 543;1 299 482;1 322 173;1 360 265;1 437 925;1 526 805;1 554 863;1 620 091;1 649 835;1 601 483;1 690 512;1 557 202;1 499 724;1 482 120;1 462 385;1 253 938;1 276 418;1 141 511;1 158 036;1 180 543;1 287 340;1 408 233;1 514 349;1 594 696;1 624 339;1 634 044;1 697 326;1 777 670;1 762 582;1 848 981;1 928 110;1 984 679;2 025 250;2 102 694;2 167 597
ozimej;ha;535 900;718 274;882 373;969 083;990 659;1 090 430;1 101 599;1 019 560;1 136 220;1 091 483;1 077 509;1 024 370;1 111 399;1 076 959;1 048 831;1 080 148;1 098 422;1 226 855;1 334 443;1 350 014;1 399 658;1 487 452;1 637 011;1 693 846;1 745 749;1 811 690;1 790 855;1 709 391;1 751 368;1 428 916;1 553 550;1 561 832;1 605 976;1 269 685;1 371 047;1 107 465;1 148 093;1 236 931;1 443 372;1 517 773;1 538 406;1 599 037;1 503 290;1 542 024;1 654 880;1 742 919;1 694 064;1 790 746;1 687 810;1 842 394;1 970 516;1 821 550;1 884 294
jarej;ha;164 500;393 299;501 387;475 889;489 228;433 224;386 246;478 825;422 528;339 951;386 588;416 597;362 694;357 930;311 935;321 217;294 479;314 592;291 021;267 322;257 519;235 730;206 906;271 053;239 410;248 755;256 809;252 288;270 555;413 183;278 643;272 035;246 326;279 386;237 576;310 269;308 178;300 386;263 108;366 763;486 599;533 563;675 371;653 426;625 773;694 474;711 033;686 124;719 237;564 392;509 912;733 542;747 025
żyta;ha;3 083 100;4 632 104;5 088 043;5 166 200;5 079 678;5 027 274;4 954 294;4 755 200;4 798 774;4 951 693;4 964 197;5 065 985;5 212 630;5 201 750;5 122 232;4 879 950;4 700 431;4 382 783;4 404 245;4 447 412;4 308 708;4 274 303;4 262 811;4 173 933;3 413 049;3 710 737;3 543 245;3 415 828;3 137 565;2 791 947;2 934 079;3 115 743;3 030 002;2 868 214;3 039 035;3 002 360;3 272 838;3 447 623;3 545 277;3 083 133;2 760 012;2 646 609;2 325 000;2 274 987;2 314 451;2 289 498;2 033 905;2 212 766;2 436 266;2 451 600;2 414 978;2 297 919;2 290 852
w gospodarstwach państwowych;ha;—;—;234 400;292 100;333 195;391 848;436 430;375 635;396 893;432 420;452 079;425 446;388 386;380 195;355 658;325 852;304 112;291 071;299 998;307 442;302 444;328 472;343 120;336 057;291 271;307 804;293 469;266 296;231 770;198 425;234 035;271 583;289 766;279 888;332 860;323 898;375 285;411 160;421 113;324 452;279 903;245 269;210 570;226 524;246 340;247 532;145 182;182 916;117 133;69 928;42 154;34 417;31 132
w spółdzielniach produkcyjnych;ha;.;.;.;.;31 894;126 154;128 128;236 553;323 883;371 118;378 429;52 348;46 037;48 197;52 075;46 674;37 382;31 519;29 850;29 081;27 342;27 327;27 745;28 949;27 268;28 518;28 154;28 193;26 158;23 596;33 396;54 737;60 424;75 421;102 222;99 398;119 616;128 828;136 937;107 787;89 417;82 317;73 538;77 279;85 465;87 211;56 203;72 566;73 993;71 636;63 636;54 052;52 223
w kółkach rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;5577;8962;9764;13 564;15 571;14 969;18 500;19 585;17 887;19 033;22 402;24 620;25 964;28 405;28 681;55 910;85 704;81 462;62 241;56 340;38 672;30 418;29 115;27 880;20 201;16 546;15 028;11 312;12 076;13 428;13 760;3402;3995;1226;988;.;.;.
w gospodarstwach indywidualnych;ha;.;.;.;.;4 714 589;4 509 272;4 389 736;4 143 012;4 077 998;4 148 155;4 133 689;4 588 191;4 778 207;4 773 358;4 714 499;4 501 847;4 349 975;4 050 429;4 060 833;4 095 318;3 963 953;3 900 004;3 872 361;3 791 040;3 075 477;3 352 013;3 197 002;3 095 375;2 851 232;2 541 245;2 610 738;2 703 719;2 598 350;2 450 664;2 547 613;2 540 392;2 747 519;2 878 520;2 959 347;2 630 693;2 374 146;2 303 995;2 029 580;1 959 108;1 969 218;1 939 926;1 827 026;1 929 158;2 180 558;2 219 160;2 203 869;2 105 476;2 100 294
jęczmienia;ha;747 900;930 144;862 471;840 657;835 051;813 493;826 500;877 148;839 178;821 787;777 265;777 499;742 307;644 270;717 301;679 781;663 342;748 545;741 423;688 495;678 014;644 532;627 472;758 818;924 147;899 011;1 016 446;1 083 110;1 230 323;1 335 112;1 210 035;1 235 387;1 202 512;1 469 794;1 322 343;1 294 230;1 236 611;1 098 951;1 054 429;1 242 287;1 335 306;1 285 712;1 250 253;1 174 748;1 174 113;1 237 389;1 197 899;1 167 693;1 031 953;1 047 578;1 129 754;1 241 996;1 137 556
w gospodarstwach państwowych;ha;—;—;59 700;78 700;106 287;131 184;143 675;179 445;154 766;167 725;162 335;159 252;147 224;138 056;138 716;132 259;136 445;152 139;153 753;148 322;150 988;141 481;142 295;167 500;183 050;206 057;247 731;264 746;261 474;273 911;277 474;315 545;301 943;405 961;368 508;373 476;373 989;333 546;320 920;372 202;365 408;320 197;300 217;252 206;275 647;314 469;270 554;198 090;124 802;64 904;60 357;57 050;38 994
w spółdzielniach produkcyjnych;ha;.;.;.;.;10 157;39 453;40 988;87 181;100 826;102 688;105 712;13 557;12 538;13 065;15 730;15 254;14 033;15 309;14 256;13 947;14 290;14 563;15 581;19 056;19 179;23 401;28 384;28 525;31 236;36 386;38 151;46 534;53 225;76 374;79 745;92 930;85 752;71 666;65 175;77 558;78 520;73 465;69 441;57 992;63 136;73 219;71 907;64 876;61 358;53 357;61 382;61 205;45 972
w kółkach rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1357;2524;3957;3366;3298;3066;2434;2184;3593;3607;5928;7684;9762;11 354;23 459;28 476;32 708;33 911;35 253;22 002;14 190;7756;5596;5288;6509;6308;5853;5553;3962;4495;5340;2797;2003;719;555;.;.;.
w gospodarstwach indywidualnych;ha;.;.;.;.;718 607;642 856;641 837;610 522;583 586;551 374;509 218;604 690;582 545;493 149;562 855;530 911;510 340;577 140;570 048;522 928;509 670;486 054;467 412;568 669;718 311;663 625;732 647;780 077;926 259;1 001 356;865 934;840 600;813 433;952 206;852 088;813 634;769 114;688 143;663 046;786 018;885 070;886 197;875 042;860 588;830 835;841 610;849 906;874 918;789 496;856 413;909 450;1 013 645;971 091
ozimego;ha;.;.;.;72 155;58 330;64 138;63 200;88 910;88 426;90 166;69 875;76 927;67 179;62 349;52 797;49 439;44 742;44 939;40 952;45 296;40 428;38 511;38 450;36 631;28 280;28 484;23 158;22 325;27 788;32 592;45 953;71 454;90 961;115 556;141 901;151 641;154 851;128 418;148 266;146 445;157 920;157 117;142 883;154 645;192 447;186 055;155 571;180 310;132 186;187 351;194 007;111 316;139 115
jarego;ha;.;.;.;768 502;776 721;749 355;763 300;788 238;750 752;731 621;707 390;700 572;675 128;581 921;664 504;630 342;618 600;703 606;700 471;643 199;637 586;606 021;589 022;722 187;895 867;870 527;993 288;1 060 785;1 202 535;1 302 520;1 164 082;1 163 933;1 111 551;1 354 238;1 180 442;1 142 589;1 081 760;970 533;906 163;1 095 842;1 177 386;1 128 595;1 107 370;1 020 103;981 666;1 051 334;1 042 328;987 383;899 767;860 227;935 747;1 130 680;998 441
owsa;ha;1 100 300;1 561 910;1 755 625;1 774 543;1 698 058;1 629 537;1 691 207;1 710 292;1 633 975;1 641 155;1 595 049;1 737 668;1 709 196;1 686 527;1 640 817;1 601 975;1 584 368;1 682 200;1 560 652;1 313 679;1 380 698;1 402 779;1 365 267;1 366 937;1 530 251;1 330 049;1 359 312;1 271 165;1 181 661;1 291 181;1 114 737;1 096 542;1 029 782;1 094 207;997 190;1 155 852;1 085 636;1 042 007;934 221;994 501;923 979;856 060;850 012;803 207;746 761;686 166;666 567;641 755;618 142;595 360;624 759;625 540;561 283
w gospodarstwach państwowych;ha;—;—;71 800;95 100;125 992;148 257;140 858;165 072;148 026;200 164;188 911;185 352;172 497;161 443;147 331;137 538;125 995;134 469;125 982;113 590;129 606;133 999;132 226;134 748;142 541;124 722;120 362;113 490;93 541;118 401;122 561;121 960;120 901;128 843;128 891;158 309;155 432;149 321;125 365;137 374;123 997;106 493;135 018;125 275;119 176;95 847;84 644;51 175;37 504;19 907;14 662;15 244;8888
w spółdzielniach produkcyjnych;ha;.;.;.;.;16 236;67 691;68 473;138 687;145 833;147 121;155 948;17 493;14 179;15 436;16 899;15 522;13 267;12 138;10 371;9184;10 167;10 302;10 835;11 255;10 482;11 333;11 046;10 483;8693;11 809;12 175;15 239;18 472;25 536;25 792;45 354;41 084;37 642;31 821;38 233;36 402;30 829;37 169;35 749;34 644;27 821;24 210;20 308;20 410;18 323;18 378;19 300;12 141
w kółkach rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;4429;6174;8189;7302;5230;8667;8187;7397;5859;6651;8552;8973;9030;7286;17 232;17 802;21 012;21 293;18 051;12 165;13 784;8088;6775;6384;7163;6106;4948;5618;5103;4684;3112;1324;806;176;188;.;.;.
w gospodarstwach indywidualnych;ha;.;.;.;.;1 555 830;1 413 589;1 481 876;1 406 533;1 340 116;1 293 870;1 250 190;1 534 823;1 522 520;1 509 648;1 476 587;1 444 486;1 438 932;1 527 404;1 416 997;1 185 675;1 232 258;1 250 291;1 214 809;1 215 075;1 370 577;1 185 442;1 218 931;1 138 162;1 072 141;1 143 739;962 199;938 331;869 116;921 777;830 342;938 405;881 032;848 269;770 651;811 731;757 474;713 790;672 207;637 080;588 257;559 050;555 078;562 068;540 595;536 152;563 644;559 547;524 524
pszenżyta;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;310 825;549 352;648 636;748 564;731 077;659 263;656 796;586 242;616 443;696 535;630 122;635 463
w gospodarstwach państwowych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;122 119;138 573;129 164;141 097;145 160;115 584;89 753;43 081;29 104;25 215;20 793;18 908
w spółdzielniach produkcyjnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;30 258;36 901;38 587;42 489;39 770;35 106;33 458;25 509;25 057;27 187;23 349;22 028
w kółkach rolniczych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;2203;3064;2958;2964;2621;801;696;327;260;.;.;.
w gospodarstwach indywidualnych;ha;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;156 245;370 814;477 927;562 014;543 207;506 835;518 826;496 590;536 054;608 063;544 702;554 139
w gospodarstwach państwowych;ha;—;—;.;.;728 565;863 420;946 664;932 835;925 687;1 030 853;1 034 784;979 502;905 940;877 712;833 624;797 449;790 866;828 267;848 121;851 691;881 796;928 429;982 051;1 033 536;1 000 626;1 029 937;1 010 919;958 053;871 738;832 587;906 970;991 355;1 021 894;1 045 288;1 091 857;1 075 653;1 151 373;1 192 613;1 217 676;1 229 810;1 190 328;1 237 463;1 240 785;1 196 353;1 261 524;1 343 419;1 138 048;971 514;582 873;346 010;283 749;257 549;223 087
