﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Produkcja żywca rzeźnego - bydło (bez cieląt);szt.;391 100;474 600;685 000;700 300;1 048 600;831 400;800 900;968 000;944 000;1 147 900;1 283 400;1 145 300;1 251 400;1 368 400;1 344 100;1 491 100;1 805 800;2 150 400;2 319 700;2 101 200;2 056 000;2 318 200;2 585 100;2 796 200;2 626 500;2 593 900;2 420 900;2 530 800;3 060 100;3 296 100;3 536 900;3 246 900;3 247 100;3 530 800;3 410 000;2 499 800;3 119 500;3 007 900;3 132 161;3 291 206;3 434 795;3 370 735;3 170 380;2 975 913;3 491 981;3 180 466;2 654 825;2 482 825;2 279 914;2 020 781;1 992 866;1 963 614;1 962 054
gospodarstwa państwowe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;112 900;176 200;237 200;299 400;328 300;377 700;390 300;428 900;474 400;572 100;510 100;640 700;652 400;720 300;848 200;935 400;1 015 000;1 101 900;1 144 800;1 175 900;1 187 800;941 400;895 300;810 500;766 249;664 063;637 494;629 071;603 975;591 200;692 181;627 457;459 516;308 411;164 327;98 391;69 776;68 109;62 809;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;275 100;192 100;173 200;158 100;145 412;121 554;119 501;115 592;121 808;121 025;128 450;111 412;79 252;59 155;47 159;37 494;32 057;31 355;28 629;.
spółdzielnie produkcyjne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;14 200;13 700;14 300;16 900;18 500;21 000;25 100;37 300;47 200;61 100;66 500;71 100;95 500;106 800;111 100;126 700;146 400;157 600;164 900;188 300;214 700;161 000;156 200;146 000;136 709;116 795;116 275;112 490;120 259;119 490;127 274;107 730;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;—;—;—;700;1000;1600;4700;3500;2600;3800;3100;4600;7500;16 000;23 300;44 400;73 000;103 300;103 000;82 000;60 400;31 100;17 000;12 100;8703;4759;3226;3102;1549;1535;1176;3682;.;.;.;.;.;.;.;.
gospodarstwa indywidualne;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;1 217 000;1 301 200;1 554 300;1 833 400;1 971 900;1 700 900;1 635 900;1 848 500;2 060 900;2 159 200;2 046 800;1 877 500;1 665 500;1 687 700;2 077 500;2 189 600;2 302 500;1 884 100;1 834 400;2 084 600;1 947 100;1 366 300;2 051 000;2 039 300;2 220 500;2 505 589;2 677 800;2 626 072;2 444 597;2 263 688;2 671 350;2 441 597;2 112 636;2 079 188;1 997 131;1 814 952;1 831 947;1 792 986;1 800 108;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;3421;36 071;71 297;69 944;59 086;71 164;70 508;.
Produkcja żywca rzeźnego - cielęta;szt.;800 000;1 090 500;1 359 500;1 383 000;2 186 000;2 351 100;2 647 600;2 710 000;2 475 000;2 547 600;2 452 500;3 006 700;3 493 700;3 233 000;3 073 600;2 775 100;2 718 700;2 566 100;2 425 200;2 365 700;2 335 300;2 294 700;2 377 200;2 578 300;2 070 200;2 141 400;1 832 600;1 795 200;1 860 200;1 714 000;1 663 600;1 280 700;1 460 500;1 309 800;1 444 700;1 437 700;1 654 200;1 611 400;1 519 488;1 228 507;1 190 157;1 093 805;903 577;1 046 380;1 487 771;1 351 177;1 217 814;1 127 057;1 080 356;1 017 859;1 015 245;997 146;1 119 837
gospodarstwa państwowe;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;138 100;134 400;108 100;126 400;108 600;94 400;94 800;100 000;87 200;87 500;84 800;86 700;71 300;69 400;77 700;71 400;78 100;92 200;107 800;138 900;142 800;55 500;65 800;78 400;62 860;35 765;44 098;39 929;39 623;44 886;65 985;58 392;62 797;48 615;22 584;14 934;8754;9931;9393;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;7700;9700;8100;9200;8528;6842;6759;6106;4944;6516;12 069;7937;7306;6560;4547;4090;3688;3387;3678;.
