﻿Wskaźnik;Jednostka;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Bydło (stan w czerwcu);szt.;3 910 489;4 745 883;5 747 969;7 071 600;7 200 000;7 200 000;7 255 000;7 385 000;7 686 534;7 912 157;8 353 242;8 264 750;8 209 737;8 352 773;8 695 091;9 168 134;9 589 478;9 841 420;9 939 738;9 947 188;10 390 800;10 767 542;10 940 020;11 048 862;10 843 469;11 076 341;11 452 524;12 192 161;13 022 970;13 254 279;12 879 023;13 019 223;13 115 400;13 035 611;12 648 608;11 796 974;11 911 693;11 269 395;11 196 559;11 055 238;10 919 043;10 522 676;10 322 063;10 732 577;10 048 929;8 844 000;8 221 359;7 642 576;7 695 677;7 305 594;7 136 466;7 307 382;6 955 251
gospodarstwa państwowe;szt.;—;—;—;365 800;441 100;500 200;590 500;665 600;753 110;831 600;844 580;814 245;822 594;906 326;1 035 347;1 205 327;1 277 755;1 335 500;1 381 675;1 442 180;1 497 405;1 581 500;1 650 472;1 684 977;1 807 878;1 936 946;2 195 768;2 422 000;2 522 904;2 651 630;2 766 888;2 857 781;2 929 683;2 912 745;2 522 577;2 318 662;2 101 002;1 975 404;1 887 893;1 836 149;1 773 332;1 735 002;1 706 453;1 539 357;1 299 327;973 590;648 841;408 979;281 182;233 269;225 709;201 659;.
spółdzielnie produkcji rolniczej;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;523 708;412 527;383 717;337 635;300 764;270 234;259 975;237 499;223 127;217 580;189 752;155 762;130 173;117 610;102 658;93 700;90 033;90 080;81 105;.
spółdzielnie produkcyjne;szt.;—;—;—;35 900;154 100;190 300;394 100;510 034;596 147;661 142;79 232;72 012;77 694;92 033;93 699;90 100;87 416;90 200;96 330;105 700;118 535;124 200;129 887;135 919;148 971;168 406;195 608;239 845;262 194;278 835;336 282;375 897;402 227;432 050;374 123;357 473;320 387;290 760;264 421;255 316;234 429;220 276;215 354;188 228;154 373;.;.;.;.;.;.;.;.
kółka rolnicze;szt.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;1245;2866;3403;4438;6668;6720;7335;6120;6574;7297;10 112;14 360;23 758;49 084;90 887;168 699;221 444;207 393;141 866;91 658;38 404;26 244;17 248;10 004;5813;4659;3070;2851;2226;1524;1389;.;.;—;.;.;.;.;.
gospodarstwa indywidualne;szt.;—;—;—;6 798 300;6 604 800;6 564 500;6 400 400;6 510 900;6 562 900;6 860 500;7 340 938;7 323 480;7 452 485;7 696 732;8 037 843;8 291 185;8 472 846;8 509 600;8 462 515;8 836 200;9 144 267;9 228 200;9 261 929;9 015 276;9 109 380;9 332 812;9 777 027;10 312 041;10 378 294;9 779 859;9 694 609;9 674 329;9 561 835;9 212 155;8 861 870;9 209 314;8 830 758;8 920 391;8 897 111;8 822 919;8 511 845;8 363 934;8 808 544;8 319 820;7 387 286;7 110 368;6 805 769;7 025 686;6 742 050;6 595 116;6 777 432;6 479 300;.
pozostałe formy własności;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;1625;7228;70 356;158 354;188 662;218 048;214 161;193 187;.
poniżej 6 miesięcy;szt.;513 156;688 965;827 866;882 100;764 000;577 300;779 700;849 100;1 070 734;1 154 277;1 337 142;953 036;918 208;1 060 945;1 183 653;1 352 650;1 402 895;1 408 976;1 541 038;1 633 547;1 797 500;1 831 024;1 846 920;1 919 227;1 970 031;2 190 695;2 351 744;2 574 552;2 859 886;2 746 151;2 485 745;2 709 957;2 614 336;2 644 930;2 497 535;2 140 500;2 139 517;2 029 410;2 056 831;2 183 107;2 168 685;2 083 582;2 075 002;2 009 184;1 767 076;1 568 659;1 592 129;1 466 965;1 585 813;1 457 681;1 408 390;1 364 951;.
od 6 miesięcy do 1 roku;szt.;349 950;564 578;578 944;655 100;737 400;711 300;623 500;655 600;582 300;646 280;661 500;727 163;633 903;614 238;668 582;801 266;863 156;954 561;934 000;963 324;1 011 400;1 161 877;1 186 100;1 191 910;1 145 223;1 165 402;1 291 575;1 524 270;1 673 220;1 948 126;1 786 376;1 704 159;1 824 812;1 753 770;1 787 135;1 690 853;1 707 082;1 487 735;1 513 852;1 530 983;1 638 647;1 621 120;1 574 808;1 575 378;1 374 257;1 092 693;1 019 968;959 148;975 413;1 031 849;1 107 649;1 047 296;.
1-roczne i starsze;szt.;3 047 383;3 492 340;4 341 159;5 534 400;5 698 600;5 911 400;5 851 800;5 880 300;6 033 500;6 111 600;6 354 600;6 584 551;6 657 626;6 677 590;6 842 856;7 014 218;7 323 427;7 477 883;7 464 700;7 350 317;7 581 900;7 774 641;7 907 000;7 937 725;7 728 215;7 720 244;7 809 205;8 093 339;8 489 864;8 560 002;8 606 902;8 605 107;8 676 252;8 636 911;8 363 938;7 965 621;8 065 094;7 752 250;7 625 876;7 341 148;7 111 711;6 817 974;6 672 253;7 148 015;6 907 596;6 182 648;5 609 262;5 216 463;5 134 451;4 816 064;4 620 427;4 895 135;.
