﻿Wskaźnik;Jednostka;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998
Telegramy nadane;tys. szt.;7178;7885;8700;9280;9931;10 331,0;10 755,0;10 890,0;10 135,0;10 121,0;9993;10 333,0;10 746,0;11 531,0;11 975,0;12 537,0;13 366,0;14 296,0;15 119,0;16 036,0;16 680,0;17 298,0;17 146,0;15 021,0;15 655,0;16 598,0;17 669,0;18 427,0;18 752,0;19 166,0;19 045,0;18 032,0;13 727,0;17 419,0;18 439,0;18 620,0;18 814,0;18 434,0;18 637,0;17 739,0;11 720,0;9821;8054;6950;6316;5289;4759;4386;3932
w obrocie krajowym;tys. szt.;.;.;.;.;.;9674;9829;10 136,0;9516;9542;9413;9753;10 130,0;10 885,0;11 274,0;11 779,0;12 545,0;13 449,0;14 344,0;15 304,0;15 977,0;16 619,0;16 418,0;14 294,0;14 863,0;15 747,0;16 768,0;17 511,0;17 851,0;18 184,0;18 036,0;16 916,0;13 252,0;16 612,0;17 510,0;17 831,0;18 099,0;17 700,0;17 669,0;16 648,0;11 067,0;9310;7741;6783;6221;5223;4702;4327;3897
z Polski za granicę;tys. szt.;.;.;.;.;.;657;926;754;619;579;580;580;616;646;701;758;821;847;775;732;703;679;728;727;792;851;901;916;901;982;1009;1116;475;807;929;789;715;734;968;1091;653;511;313;167;95;66;57;59;35
Telegramy przychodzące z zagranicy do Polski;tys. szt.;.;.;.;.;.;483;683;702;565;510;494;497;531;534;569;614;662;695;699;697;674;651;716;737;766;778;779;786;795;813;791;745;591;576;589;524;490;503;639;689;688;639;364;208;108;64;57;57;34
Połączenia telefoniczne międzymiastowe wychodzące;tys. szt.;47 033,0;56 371,0;67 700,0;77 684,0;89 418,0;97 030,0;101 469,0;94 392,0;95 265,0;101 967,0;108 774,0;114 610,0;118 682,0;170 093,0;196 269,0;224 680,0;250 494,0;273 371,0;346 781,0;395 543,0;433 923,0;471 445,0;488 535,0;552 574,0;616 741,0;653 330,0;722 713,0;787 170,0;892 264,0;950 210,0;1 010 959,0;999 658,0;893 866,0;1 083 962,0;1 142 148,0;1 239 050,0;1 308 635,0;1 391 749,0;1 465 904,0;1 530 170,0;1 532 739,0;1 674 159,0;1 858 256,0;2 082 070,0;2 610 155,0;3 394 435,0;4 046 672,0;5 680 438,0;7 748 359,0
z Polski za granicę;tys. szt.;.;.;.;.;.;206;356;273;254;259;252;244;267;281;312;354;438;524;454;437;491;738;943;1087;1303;1586;1875;2247;2592;2573;2939;3434;665;3091;2900;3390;6739;5643;8191;9999;11 275,0;12 523,0;35 462,0;45 470,0;92 988,0;112 753,0;127 582,0;165 348,0;190 691,0
Połączenia telefoniczne międzymiastowe przychodzące z zagranicy do Polski;tys. szt.;.;.;.;.;.;97;159;210;188;201;201;212;241;252;264;254;253;339;384;483;500;663;718;932;1546;2137;3087;3702;4403;4971;5136;5475;2836;5808;5792;8447;15 937,0;14 616,0;17 631,0;22 581,0;31 959,0;40 167,0;61 110,0;71 916,0;112 529,0;151 202,0;189 299,0;215 175,0;239 506,0
Aparaty telefoniczne telefonii przewodowej ogólnodostępne (stan w dniu 31 XII) - samoinkasujące;szt.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;24 100;24 856;25 832;27 398;29 341;28 282;28 630;29 198;30 008;31 717;36 501;47 779;61 832;71 150
Abonenci telefonii przewodowej (stan w dniu 31 XII);abon.;194 000;216 000;245 000;272 500;301 000;338 000;378 000;405 859;446 236;487 556;535 202;585 035;636 056;675 540;737 709;783 514;838 035;898 874;957 694;1 013 933;1 070 016;1 130 466;1 200 329;1 279 064;1 371 417;1 466 704;1 568 271;1 670 561;1 759 680;1 851 520;1 942 868;2 022 467;2 108 590;2 217 048;2 349 218;2 479 582;2 625 111;2 774 410;2 952 807;3 121 369;3 293 041;3 565 294;3 938 144;4 415 751;5 006 094;5 728 497;6 532 394;7 619 169;8 807 794
w miastach;abon.;.;.;.;.;.;282 536;326 500;328 521;382 623;419 570;462 622;508 773;564 129;600 396;658 053;699 608;730 960;786 940;838 955;889 985;940 599;993 627;1 054 218;1 122 938;1 204 608;1 295 232;1 388 230;1 480 740;1 558 419;1 641 799;1 726 869;1 800 224;1 877 962;1 975 992;2 093 661;2 210 305;2 339 818;2 472 245;2 626 886;2 767 375;2 902 002;3 113 121;3 411 049;3 828 392;4 333 123;4 924 255;5 542 012;6 337 479;7 132 679
na wsi;abon.;.;.;.;.;.;55 464;51 500;77 338;63 613;67 986;72 580;76 262;71 927;75 144;79 656;83 906;107 075;111 934;118 739;123 948;129 417;136 839;146 111;156 126;166 809;171 472;180 041;189 821;201 261;209 721;215 999;222 243;230 628;241 056;255 557;269 277;285 293;302 165;325 921;353 994;391 039;452 173;527 095;587 359;672 971;804 242;990 382;1 281 690;1 675 115
Abonenci telefonii komórkowej (stan w dniu 31 XII);abon.;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;—;2805;13 566;38 942;75 271;216 910;812 208;1 944 484
